Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"45106, Bethel, OH",45106,12818,44,40,57,53,12571,12499,105,12713,0,4,1,87,8,12499,69647.85436,57911,25721,8,8,4659,25,1,0,0,1,23,0
"45107, Blanchester, OH",45107,8872,30,27,48,48,8648,8616,49,8823,0,0,3,31,5,8616,65936.43025,55486,24775,7,7,3259,12,1,0,0,0,10,0
"45111, Camp Dennison, OH",45111,428,0,0,81,80,326,318,11,417,0,0,0,9,0,318,91947.01613,71154,39958,0,0,142,2,1,0,0,0,1,0
"45112, Chilo, OH",45112,103,0,0,0,0,102,102,1,102,0,0,0,1,0,102,73011.11111,69643,25518,0,0,36,0,0,0,0,0,0,0
"45113, Clarksville, OH",45113,4121,22,22,29,29,4004,3984,29,4092,1,2,1,17,1,3984,73418.90454,59819,27136,6,6,1486,5,1,0,0,1,3,0
"45115, Decatur, OH",45115,112,0,0,0,0,109,108,1,111,0,0,0,0,0,108,54982.5,46250,21905,0,0,40,0,0,0,0,0,0,0
"45118, Fayetteville, OH",45118,4085,20,20,16,16,3983,3974,17,4068,0,0,0,8,3,3974,64842.9907,58754,23981,4,4,1486,3,1,0,0,0,2,0
"45120, Felicity, OH",45120,3566,7,7,14,13,3501,3481,29,3537,0,0,0,23,2,3481,56338.50151,48816,20982,1,1,1312,4,0,0,0,0,4,0
"45121, Georgetown, OH",45121,9041,37,37,138,137,8705,8682,42,8999,0,0,0,24,4,8682,52787.99538,41347,21031,8,8,3367,11,3,0,0,0,7,1
"45122, Goshen, OH",45122,11093,36,33,120,109,10763,10685,120,10973,1,0,0,104,7,10685,68750.10039,58207,25845,4,4,3957,36,4,0,0,0,29,1
"45130, Hamersville, OH",45130,3343,3,3,16,17,3278,3268,15,3328,0,0,0,8,0,3268,63624.74513,59783,23448,2,2,1213,2,1,0,0,0,1,0
"45131, Higginsport, OH",45131,188,1,1,1,1,184,184,1,187,0,0,0,0,0,184,59555.85714,37500,22175,0,0,69,0,0,0,0,0,0,0
"45133, Hillsboro, OH",45133,24078,104,98,421,414,22977,22851,223,23855,1,7,5,140,56,22851,55024.28922,44901,21796,29,28,9047,47,4,1,1,4,29,7
"45140, Loveland, OH",45140,53864,1746,1694,996,961,49918,48956,1333,52531,12,15,10,1049,83,48956,110514.6487,91266,40886,594,591,18614,344,48,6,3,4,269,14
"45142, Lynchburg, OH",45142,4500,4,4,5,5,4419,4400,33,4467,0,2,0,17,4,4400,59578.69612,53015,22202,1,1,1655,8,2,0,0,0,6,0
"45144, Manchester, OH",45144,4090,5,5,9,8,3964,3940,48,4042,1,1,0,27,5,3940,41868.26759,30973,17124,2,2,1621,9,3,0,0,1,5,0
"45145, Marathon, OH",45145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45147, Miamiville, OH",45147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45148, Midland, OH",45148,1348,1,1,5,5,1317,1308,11,1337,0,0,0,10,0,1308,62694.09382,56466,21813,0,0,465,3,0,0,0,0,3,0
"45150, Milford, OH",45150,31968,437,418,726,689,30171,29844,552,31416,10,5,3,387,47,29844,80236.50068,66652,31741,106,104,12072,151,26,9,2,2,100,11
"45152, Morrow, OH",45152,10725,111,110,122,123,10290,10161,166,10559,1,1,3,123,11,10161,92460.4909,74609,33774,33,32,3771,30,5,0,1,0,22,2
"45153, Moscow, OH",45153,1809,2,1,6,6,1779,1772,15,1794,0,0,1,9,2,1771,75057.26466,61000,27592,0,0,657,5,1,0,0,0,3,1
"45154, Mount Orab, OH",45154,9451,40,39,57,55,9221,9198,41,9410,1,0,0,28,2,9198,65681.51134,55357,24112,6,6,3384,9,2,1,0,0,6,0
"45156, Neville, OH",45156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45157, New Richmond, OH",45157,10179,45,42,92,91,9889,9812,115,10064,0,6,3,79,8,9812,79277.54346,61854,29127,10,9,3659,33,5,0,1,0,22,3
"45158, Newtonsville, OH",45158,464,1,1,3,3,454,453,2,462,0,0,0,2,0,453,71390.50909,66447,25387,0,0,161,1,0,0,0,0,1,0
"45160, Owensville, OH",45160,840,3,3,1,1,821,819,8,832,0,0,0,4,4,819,72987.44044,43700,31367,1,1,356,3,0,0,0,0,3,0
"45162, Pleasant Plain, OH",45162,2635,8,8,17,15,2579,2561,28,2607,0,0,0,21,0,2561,79409.2831,69578,29594,0,0,966,3,1,0,0,0,2,0
"45167, Ripley, OH",45167,3459,7,7,133,133,3247,3240,12,3447,0,0,0,7,2,3240,58072.55085,45457,24121,1,1,1345,2,1,0,0,0,1,0
"45168, Russellville, OH",45168,1523,0,0,12,12,1491,1485,7,1516,0,0,0,5,0,1485,73109.38652,61879,27276,0,0,554,2,1,0,0,0,1,0
"45171, Sardinia, OH",45171,5716,5,5,32,32,5620,5607,19,5697,0,0,0,14,1,5607,62181.89306,55769,23561,1,1,2129,7,1,0,0,0,6,0
"45174, Terrace Park, OH",45174,2290,9,8,2,2,2255,2242,22,2268,0,0,0,15,3,2242,172196.2927,131132,58050,3,3,765,5,1,0,0,0,4,0
"45176, Williamsburg, OH",45176,9295,18,17,48,47,9111,9078,58,9237,0,0,1,35,9,9078,65090.78299,58323,24390,4,4,3383,15,3,0,0,0,8,4
"45177, Wilmington, OH",45177,21865,144,141,846,820,20000,19828,337,21528,21,8,2,181,32,19828,64033.97221,51834,25837,42,42,8118,73,19,6,0,2,41,5
"45202, Cincinnati, OH",45202,16527,335,333,8196,8115,7478,7224,468,16059,72,3,2,263,40,7224,69782.2594,46411,36610,227,227,4361,199,36,14,0,1,136,11
"45203, Cincinnati, OH",45203,1889,14,13,1568,1556,241,230,37,1852,9,1,1,14,5,230,39236.09412,14968,19834,7,6,125,17,3,5,1,1,6,1
"45204, Cincinnati, OH",45204,6933,44,43,1967,1942,4376,4226,480,6453,14,70,1,162,56,4226,42131.83135,30993,16711,18,17,1757,117,51,7,1,15,38,5
"45205, Cincinnati, OH",45205,18606,233,186,6946,6870,10042,9723,1144,17462,47,68,46,351,115,9723,42972.17053,34735,16727,78,58,4317,295,141,16,20,13,86,19
"45206, Cincinnati, OH",45206,10726,151,149,6736,6695,3539,3427,208,10518,37,1,2,116,25,3427,56231.39408,30657,30594,94,92,2055,110,18,16,2,1,57,13
"45207, Cincinnati, OH",45207,7687,52,50,5477,5434,1904,1836,193,7494,41,0,2,70,15,1836,54069.17604,32473,17627,5,5,191,38,16,10,0,0,9,3
"45208, Cincinnati, OH",45208,17327,516,516,1248,1240,15069,14746,441,16886,14,4,2,314,39,14746,118282.2606,83308,59583,282,281,7627,194,33,5,1,1,141,12
"45209, Cincinnati, OH",45209,9502,284,284,1013,998,7852,7614,352,9150,15,1,0,238,30,7614,86703.09192,60103,50396,186,186,4555,163,36,7,0,0,109,11
"45211, Cincinnati, OH",45211,40027,472,459,13747,13672,24305,23854,1000,39027,68,11,13,458,136,23854,56458.12017,45083,25041,165,158,11099,312,92,26,7,3,148,36
"45212, Cincinnati, OH",45212,22447,228,212,3895,3845,17174,16603,1130,21317,35,34,15,589,124,16603,57486.58867,43742,25705,101,98,7747,338,105,11,3,3,184,32
"45213, Cincinnati, OH",45213,12106,130,128,6228,6188,5218,5074,325,11781,33,3,2,151,29,5074,71114.98444,57324,32950,46,45,2446,115,38,14,1,0,54,8
"45214, Cincinnati, OH",45214,8943,53,52,6363,6314,2172,2094,255,8688,31,10,1,97,20,2094,35264.75588,21399,16735,22,21,1062,91,30,14,1,2,34,9
"45215, Cincinnati, OH",45215,29442,494,489,9322,9278,18574,18220,606,28836,43,3,5,355,72,18220,76099.99626,55138,32544,165,162,7946,192,43,18,3,1,107,19
"45216, Cincinnati, OH",45216,9281,183,164,2460,2357,6050,5614,879,8402,36,9,14,516,45,5614,54550.51985,41708,23613,50,45,2666,239,73,8,5,4,141,8
"45217, Cincinnati, OH",45217,6543,54,52,2495,2486,3747,3689,125,6418,10,4,2,57,19,3689,67608.59786,48516,29369,18,17,1617,37,9,5,1,0,19,2
"45218, Cincinnati, OH",45218,3728,36,35,277,274,3241,3171,101,3627,7,0,2,63,18,3171,71417.01563,65729,29773,11,10,1399,22,1,1,1,0,16,3
"45219, Cincinnati, OH",45219,16430,811,813,5340,5322,9741,9491,358,16072,35,2,1,229,24,9491,42462.80167,26360,17566,382,381,3556,153,29,18,1,1,92,11
"45220, Cincinnati, OH",45220,15977,1674,1665,3663,3629,9998,9624,560,15417,30,11,7,380,46,9624,57481.5101,31753,27158,822,821,4431,213,44,10,1,2,145,10
"45223, Cincinnati, OH",45223,12885,93,89,7069,7007,5205,5087,270,12615,61,2,4,119,20,5087,53838.5117,36108,23980,42,40,2712,93,24,14,2,2,48,3
"45224, Cincinnati, OH",45224,18361,136,135,10248,10233,7372,7240,237,18124,28,2,1,118,49,7240,62409.6445,49081,28063,55,54,3440,73,16,9,1,0,39,7
"45225, Cincinnati, OH",45225,9320,61,57,7263,7199,1600,1501,288,9032,42,2,4,122,41,1501,30256.18303,21100,12826,28,27,734,102,33,15,1,1,43,9
"45226, Cincinnati, OH",45226,6616,148,148,298,299,5970,5848,167,6449,3,4,2,114,17,5848,122516.1672,86769,58496,72,71,2883,62,13,2,1,0,44,2
