Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"47010, Bath, IN",47010,193,1,1,0,0,192,191,1,192,0,0,0,1,0,191,77965.97015,73077,27607,0,0,67,0,0,0,0,0,0,0
"47011, Bennington, IN",47011,2297,3,4,8,9,2241,2228,24,2273,0,0,0,6,1,2228,65363.77061,54796,23818,1,1,821,4,2,0,0,0,2,0
"47012, Brookville, IN",47012,8481,19,23,15,14,8351,8304,81,8400,3,5,0,32,13,8304,65895.90975,52129,25612,3,3,3262,12,4,2,0,2,3,1
"47016, Cedar Grove, IN",47016,1076,3,3,1,1,1064,1061,4,1072,0,0,0,4,0,1061,64300.76543,57813,24202,0,0,403,1,0,0,0,0,0,0
"47017, Cross Plains, IN",47017,547,7,7,0,0,531,531,2,545,0,1,0,0,1,531,46479.88995,34855,17759,1,1,207,0,0,0,0,0,0,0
"47018, Dillsboro, IN",47018,3022,12,11,4,4,2975,2971,12,3010,0,0,0,8,2,2971,70324.45299,62054,28055,1,1,1156,3,1,0,0,0,2,0
"47022, Guilford, IN",47022,3778,10,10,4,4,3739,3727,19,3759,0,0,0,12,3,3727,86653.0537,76277,31606,3,3,1367,3,0,0,0,0,3,0
"47024, Laurel, IN",47024,3434,3,3,5,6,3375,3352,41,3393,0,1,0,19,4,3352,50195.62222,41760,18418,0,0,1248,5,2,0,0,0,2,1
"47025, Lawrenceburg, IN",47025,21949,145,138,287,274,21124,21000,249,21700,7,3,4,140,38,21000,80649.4177,68623,30514,30,30,8034,50,15,2,0,1,27,5
"47030, Metamora, IN",47030,1489,2,2,3,4,1463,1450,20,1469,0,0,0,10,1,1451,63628.85661,51522,22947,0,0,534,2,1,0,0,0,1,0
"47031, Milan, IN",47031,5589,10,10,9,9,5488,5465,37,5552,0,5,0,24,2,5465,62914.70029,50449,23507,0,0,2022,7,0,0,0,0,7,0
"47032, Moores Hill, IN",47032,3477,23,21,4,4,3412,3404,19,3458,0,0,0,12,3,3404,67186.83189,58643,24560,3,3,1250,7,1,0,0,0,5,1
"47035, New Trenton, IN",47035,242,0,0,0,0,241,241,0,242,0,0,0,0,0,241,74529.37113,58333,29873,0,0,96,0,0,0,0,0,0,0
"47036, Oldenburg, IN",47036,975,4,4,6,7,951,938,16,959,0,0,0,11,2,938,72182.10405,67000,26024,1,1,342,3,1,0,0,0,2,0
"47040, Rising Sun, IN",47040,5312,18,17,19,17,5215,5165,77,5235,1,1,0,54,5,5165,66588.36991,54178,27713,4,4,2125,19,3,1,0,0,14,1
"47041, Sunman, IN",47041,6526,16,13,19,16,6410,6327,129,6397,0,0,0,96,1,6327,74796.766,64505,26823,3,3,2289,20,5,0,0,0,15,0
"47060, West Harrison, IN",47060,6786,21,20,7,6,6719,6696,36,6750,0,0,0,28,2,6696,91170.67359,80320,33628,3,3,2494,7,0,0,0,0,7,0
"47240, Greensburg, IN",47240,21583,164,152,86,79,20941,20678,434,21149,6,3,9,271,24,20678,65115.82422,53950,25923,66,64,8218,78,20,3,2,1,48,4
"47325, Brownsville, IN",47325,690,4,4,2,2,677,672,5,685,0,0,0,5,0,672,56388.1323,51210,21127,3,3,253,1,0,0,0,0,1,0
"47331, Connersville, IN",47331,23326,93,96,282,294,22570,22398,203,23123,4,2,2,132,15,22398,51830.4509,40359,21125,24,24,9071,57,8,2,0,1,44,2
"47353, Liberty, IN",47353,5764,25,25,29,29,5608,5576,57,5707,0,2,0,34,6,5576,59784.7179,49955,23646,6,6,2212,14,6,0,0,0,7,1
