Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30204, Barnesville, GA",30204,13145,41,37,5101,5062,7609,7495,267,12878,21,12,4,133,18,7495,56258.33768,44149,21391,11,11,3200,60,21,3,0,3,31,2
"30205, Brooks, GA",30205,3579,22,24,117,136,3365,3256,112,3467,1,0,1,79,6,3256,104086.1514,76549,36947,9,8,1198,28,4,1,1,0,21,1
"30206, Concord, GA",30206,2725,5,4,345,345,2304,2286,45,2680,4,0,1,14,2,2286,72665.47228,60549,25148,1,1,787,13,5,2,0,0,6,0
"30213, Fairburn, GA",30213,32077,353,332,25567,25140,4593,3784,2173,29904,297,28,19,944,196,3784,79169.12843,68753,29205,125,121,2151,478,159,61,4,7,207,40
"30214, Fayetteville, GA",30214,29039,1073,1054,12247,12084,13893,12734,2402,26637,160,30,19,1162,152,12734,95570.19227,78433,34854,311,307,5844,559,193,35,4,4,284,39
"30215, Fayetteville, GA",30215,33833,1251,1271,8478,8538,22807,21509,1702,32131,127,34,8,1065,139,21509,109678.666,93577,38237,353,350,8321,405,71,32,3,7,258,34
"30216, Flovilla, GA",30216,1999,5,5,622,630,1316,1288,30,1969,2,0,0,17,1,1288,78622.54031,68487,27807,1,1,518,6,2,1,0,0,3,0
"30217, Franklin, GA",30217,8825,42,43,1182,1220,7313,7162,200,8625,8,2,1,95,22,7162,56242.18681,44197,21534,8,8,2827,29,11,3,0,0,13,2
"30218, Gay, GA",30218,1822,3,3,541,561,1241,1197,47,1775,0,1,0,24,1,1197,60522.17988,54688,21791,1,1,478,12,5,0,0,0,7,0
"30220, Grantville, GA",30220,5256,44,43,1169,1189,3867,3721,194,5062,5,2,2,118,17,3721,69134.24324,55336,24338,8,7,1388,47,11,1,1,1,31,2
"30222, Greenville, GA",30222,3343,27,27,1510,1528,1726,1686,46,3297,5,1,0,16,8,1686,63578.75682,48765,24656,3,3,690,13,4,3,0,0,5,1
"30223, Griffin, GA",30223,35784,415,409,14412,14502,19782,18733,1598,34186,60,49,10,890,133,18733,54474.03641,41976,20168,101,99,7575,422,103,19,2,10,256,32
"30224, Griffin, GA",30224,25326,291,288,6981,7031,17332,16808,870,24456,54,12,7,411,80,16808,65990.67893,55469,25542,70,69,6795,172,39,8,1,2,105,17
"30228, Hampton, GA",30228,38236,839,839,20394,20302,14678,12927,3188,35048,352,66,11,1468,254,12927,79481.08063,67470,26260,183,181,5426,703,227,97,2,6,326,45
"30230, Hogansville, GA",30230,9296,75,75,2220,2252,6709,6520,255,9041,1,4,1,153,14,6520,58477.20105,43630,21719,20,19,2497,52,18,0,1,1,29,3
"30233, Jackson, GA",30233,24348,110,100,5995,6092,17620,17020,755,23593,34,8,12,459,74,17020,68312.32273,57256,23565,29,28,6366,140,39,8,1,1,79,12
"30234, Jenkinsburg, GA",30234,1836,2,2,636,643,1159,1129,37,1799,2,0,0,21,8,1129,66418.52511,60370,24092,1,1,454,8,2,1,0,0,4,1
"30236, Jonesboro, GA",30236,46606,2299,2247,27137,27072,12973,9882,6402,40204,434,74,83,2678,544,9882,68121.95875,53464,24777,658,632,5513,1662,606,172,26,16,709,133
"30238, Jonesboro, GA",30238,37325,873,845,27031,26814,6536,4483,4369,32956,379,62,33,1882,384,4483,62636.77337,54961,20876,256,244,2563,1048,357,158,12,17,436,68
"30240, Lagrange, GA",30240,31322,534,502,9104,9201,20551,19974,1080,30242,35,22,39,431,70,19974,69433.97992,52367,26854,152,144,7926,274,136,7,8,4,103,16
"30241, Lagrange, GA",30241,24461,621,613,10674,10694,12216,11772,957,23504,44,12,12,374,70,11772,56357.74327,43209,21430,178,176,4517,245,141,6,2,3,79,13
"30248, Locust Grove, GA",30248,24112,383,386,6482,6525,16234,15460,1157,22955,103,7,6,606,119,15460,85126.77453,77588,27930,81,79,5537,258,78,24,2,1,128,25
"30250, Lovejoy, GA",30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30251, Luthersville, GA",30251,2722,6,6,917,942,1684,1627,83,2639,6,2,0,24,11,1627,59855.59356,45701,21858,0,0,652,19,8,2,0,0,8,1
"30252, Mcdonough, GA",30252,44481,710,715,11225,11336,31124,29917,1526,42955,142,8,11,916,128,29917,97317.1662,84712,32362,146,144,10750,326,76,31,2,2,195,20
