Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"75071, Mckinney, TX",75071,"37,476","1,395","1,368","4,985","4,877","27,786","23,730","6,261","31,215",116,80,29,"4,045",415,"110,257.32 ","91,466.00 ","35,872.00 ",398,"9,387","1,492",437,30,16,22,910,77,382
"75074, Plano, TX",75074,"48,868","4,635","4,349","6,276","5,733","29,645","19,350","17,985","30,883",210,156,33,"10,965",981,"80,360.88 ","62,618.00 ","27,541.00 ","1,510","10,907","4,206","1,489",75,33,50,"2,317",237,"1,477"
"75075, Plano, TX",75075,"38,374","4,137","4,138","2,513","2,446","27,954","24,677","6,132","32,242",86,57,31,"3,219",312,"101,412.52 ","83,794.00 ","40,563.00 ","1,537","11,785","1,639",672,35,16,19,832,65,"1,521"
"75077, Lewisville, TX",75077,"39,170","1,948","2,082","2,624","2,779","32,559","29,179","3,916","35,254",50,79,19,"2,933",163,"126,474.22 ","106,143.00 ","45,531.00 ",525,"12,099",992,160,8,6,18,762,38,519
"75078, Prosper, TX",75078,"11,775",272,284,680,695,"10,114","9,110","1,326","10,449",22,11,3,933,73,"133,154.49 ","118,250.00 ","42,192.00 ",76,"3,270",319,89,3,2,2,216,7,74
"75080, Richardson, TX",75080,"47,600","4,181","4,414","3,109","3,180","35,354","29,003","9,735","37,865",132,105,49,"5,785",574,"88,560.05 ","69,315.00 ","36,431.00 ","1,703","15,188","2,430",751,26,11,21,"1,478",143,"1,692"
"75081, Richardson, TX",75081,"34,645","6,365","6,685","4,747","4,891","20,271","15,918","5,996","28,649",103,60,19,"3,709",425,"89,765.47 ","73,212.00 ","34,478.00 ","2,073","8,583","1,595",441,26,7,13,"1,025",83,"2,066"
"75082, Richardson, TX",75082,"22,379","6,489","6,555","1,646","1,633","13,159","11,892","1,624","20,755",32,15,8,"1,166",133,"145,677.91 ","120,457.00 ","52,463.00 ","1,895","5,242",469,96,11,3,6,331,22,"1,892"
"75087, Rockwall, TX",75087,"31,690",753,932,"1,328","1,629","27,971","24,809","3,450","28,240",47,32,20,"2,428",161,"110,785.83 ","93,203.00 ","39,641.00 ",246,"10,066",933,209,17,14,12,647,34,232
"75088, Rowlett, TX",75088,"27,220","1,403","1,598","3,198","3,635","20,377","16,584","4,594","22,626",61,61,24,"2,965",251,"108,280.69 ","90,127.00 ","36,722.00 ",380,"7,229","1,143",319,13,6,17,742,46,374
