Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"02169, Quincy, MA",02169,"56,258","11,248","11,136","3,986","3,752","37,991","36,835","2,410","53,848",209,38,38,"1,270",175,"36,835","81,510.44 ","65,608.00 ","37,292.00 ","3,912","3,906","18,776",924,229,71,6,14,551,53
"02170, Quincy, MA",02170,"19,953","7,090","7,040",533,487,"11,771","11,543",491,"19,462",43,3,10,273,22,"11,543","83,925.94 ","70,154.00 ","33,954.00 ","2,017","2,016","5,470",177,45,16,1,1,103,10
"02171, Quincy, MA",02171,"18,710","6,412","6,390",583,549,"11,167","10,912",487,"18,223",33,2,5,274,21,"10,912","93,595.05 ","77,656.00 ","41,708.00 ","2,038","2,037","5,717",207,63,14,1,1,121,6
"02176, Melrose, MA",02176,"28,321","1,335","1,372",818,808,"25,324","24,687",789,"27,532",35,11,6,549,57,"24,687","110,834.39 ","93,519.00 ","46,227.00 ",449,445,"10,712",248,35,13,4,3,181,12
"02180, Stoneham, MA",02180,"22,463",991,"1,042",508,492,"20,302","19,730",740,"21,723",42,8,6,465,68,"19,730","102,919.64 ","83,250.00 ","42,999.00 ",355,354,"8,574",236,45,13,1,2,160,15
"02184, Braintree, MA",02184,"34,711","3,049","2,982","1,194","1,109","29,272","28,811",946,"33,765",66,16,16,546,70,"28,811","104,035.75 ","90,654.00 ","40,216.00 ",905,902,"11,624",296,75,21,3,5,170,20
"02186, Milton, MA",02186,"27,815","1,346","1,324","4,466","4,227","20,765","20,383",968,"26,847",191,11,7,455,69,"20,383","144,812.83 ","119,928.00 ","50,316.00 ",354,353,"7,542",236,47,45,1,1,129,13
"02188, Weymouth, MA",02188,"16,343",708,695,790,740,"14,092","13,851",444,"15,899",38,0,2,272,31,"13,851","90,382.83 ","71,301.00 ","39,317.00 ",232,231,"6,126",155,40,10,1,0,96,8
"02189, East Weymouth, MA",02189,"14,603",490,481,785,709,"12,464","12,196",535,"14,068",67,1,2,294,24,"12,196","88,165.91 ","72,278.00 ","36,387.00 ",154,153,"5,272",168,47,17,1,1,98,4
"02190, South Weymouth, MA",02190,"16,349",674,661,433,404,"14,629","14,438",354,"15,995",23,6,2,215,27,"14,438","109,662.19 ","89,464.00 ","44,797.00 ",220,220,"6,085",111,26,6,0,0,68,11
"02191, North Weymouth, MA",02191,"8,700",262,244,122,100,"8,076","7,922",246,"8,454",15,3,0,192,15,"7,922","93,968.20 ","75,098.00 ","40,062.00 ",76,76,"3,502",77,5,4,0,1,64,3
"02199, Boston, MA",02199,"1,347",159,169,61,61,"1,081","1,008",82,"1,265",4,1,0,58,8,"1,008","205,365.38 ","97,403.00 ","121,119.00 ",95,95,641,42,6,2,0,1,31,2
"02203, Boston, MA",02203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"02210, Boston, MA",02210,"1,903",161,171,73,65,"1,591","1,493",128,"1,775",12,0,0,82,9,"1,493","136,139.28 ","104,688.00 ","75,286.00 ",89,89,893,49,9,3,0,0,35,2
"02215, Boston, MA",02215,"28,995","5,912","6,081","1,391","1,336","19,901","17,872","2,528","26,467",101,18,39,"1,735",205,"17,872","54,779.37 ","32,983.00 ","21,133.00 ","1,876","1,870","6,727",762,134,36,6,4,523,59
"02301, Brockton, MA",02301,"61,089","1,704","1,655","21,311","19,917","24,989","22,810","6,507","54,582","1,063",57,21,"2,708",742,"22,810","66,911.15 ","53,055.00 ","25,025.00 ",485,479,"10,825","1,898",731,310,6,18,717,116
"02302, Brockton, MA",02302,"32,396",620,599,"9,731","9,142","16,457","15,226","3,316","29,080",421,25,10,"1,485",423,"15,226","77,465.52 ","67,722.00 ","27,117.00 ",169,167,"6,554",932,376,106,2,10,381,57
"02322, Avon, MA",02322,"4,359",137,138,521,499,"3,538","3,487",132,"4,227",24,5,0,48,16,"3,487","95,874.90 ","80,537.00 ","37,566.00 ",33,33,"1,464",40,11,6,0,1,19,3
