Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"63079, Stanton, MO",63079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"63084, Union, MO",63084,"17,523",83,79,214,204,"16,894","16,758",239,"17,284",0,7,0,161,17,"16,758","68,434.65 ","55,993.00 ","25,926.00 ",22,22,"6,402",71,16,0,0,1,50,2
"63088, Valley Park, MO",63088,"8,474",557,542,383,368,"7,155","7,053",249,"8,225",4,2,0,136,18,"7,053","83,558.33 ","68,683.00 ","39,368.00 ",196,196,"3,489",87,33,2,0,2,47,3
"63089, Villa Ridge, MO",63089,"6,231",49,45,103,95,"5,983","5,943",77,"6,154",1,1,0,57,6,"5,943","72,870.99 ","63,174.00 ","26,977.00 ",9,9,"2,231",17,3,1,0,1,12,0
"63090, Washington, MO",63090,"21,522",159,151,147,137,"20,897","20,695",341,"21,181",3,6,0,226,37,"20,695","77,545.21 ","59,544.00 ","31,211.00 ",36,36,"8,436",104,22,0,0,2,74,6
"63101, Saint Louis, MO",63101,"2,653",45,44,"1,501","1,489",996,970,62,"2,591",9,1,1,29,9,970,"65,368.43 ","51,326.00 ","41,567.00 ",31,30,667,37,9,6,1,1,18,2
"63102, Saint Louis, MO",63102,"2,043",183,181,878,867,899,874,63,"1,980",6,2,1,31,6,874,"75,905.16 ","59,865.00 ","49,807.00 ",107,106,688,37,9,4,1,2,19,2
"63103, Saint Louis, MO",63103,"6,894",301,299,"3,331","3,301","3,041","2,965",169,"6,725",15,0,1,93,20,"2,965","56,198.67 ","38,930.00 ","31,422.00 ",130,129,"1,620",81,18,9,1,0,43,10
"63104, Saint Louis, MO",63104,"18,236",279,273,"8,903","8,820","8,364","8,186",469,"17,767",47,8,5,217,63,"8,186","70,500.06 ","52,615.00 ","34,945.00 ",135,134,"4,756",196,44,19,1,4,108,19
"63105, Saint Louis, MO",63105,"17,986","2,091","2,032","1,444","1,398","13,809","13,418",608,"17,378",15,5,15,479,42,"13,418","168,158.19 ","100,000.00 ","61,374.00 ",524,521,"5,429",150,14,2,3,1,123,7
"63106, Saint Louis, MO",63106,"11,864",40,36,"10,819","10,766",777,757,120,"11,744",47,2,4,26,16,757,"33,533.84 ","22,759.00 ","13,660.00 ",15,13,327,40,6,15,2,1,11,5
"63107, Saint Louis, MO",63107,"12,452",29,28,"11,353","11,301",799,769,117,"12,335",41,2,1,41,23,769,"40,019.91 ","29,295.00 ","16,621.00 ",6,5,342,34,4,13,1,1,13,2
"63108, Saint Louis, MO",63108,"21,964","2,439","2,410","7,202","7,125","11,605","11,259",631,"21,333",22,5,11,422,53,"11,259","67,691.75 ","36,327.00 ","36,810.00 ","1,260","1,255","5,714",288,42,12,5,3,204,20
"63109, Saint Louis, MO",63109,"27,109",577,547,"1,909","1,802","23,680","23,195",991,"26,118",20,14,4,624,66,"23,195","70,638.70 ","58,068.00 ","35,521.00 ",213,212,"12,258",379,73,6,1,6,270,23
"63110, Saint Louis, MO",63110,"17,090",501,493,"6,903","6,826","8,956","8,790",410,"16,680",39,7,5,210,62,"8,790","65,654.90 ","45,568.00 ","31,774.00 ",231,229,"4,851",183,29,16,2,1,110,24
"63111, Saint Louis, MO",63111,"19,373",349,341,"7,552","7,441","9,870","9,295","1,432","17,941",57,13,6,637,87,"9,295","50,474.79 ","36,361.00 ","21,906.00 ",127,123,"4,919",400,159,20,4,3,191,23
"63112, Saint Louis, MO",63112,"19,821",758,752,"14,286","14,209","3,977","3,827",510,"19,311",56,5,5,173,51,"3,827","53,170.31 ","33,380.00 ","24,393.00 ",415,412,"2,218",195,72,19,3,2,79,20
"63113, Saint Louis, MO",63113,"13,270",15,14,"12,696","12,642",302,276,117,"13,153",46,2,1,34,22,276,"40,321.82 ","31,074.00 ","16,415.00 ",6,5,56,30,2,15,1,0,6,6
"63114, Saint Louis, MO",63114,"36,450","1,009",965,"10,041","9,715","22,371","21,245","3,105","33,345",121,45,24,"1,381",252,"21,245","56,549.25 ","45,854.00 ","23,772.00 ",329,323,"10,158",762,346,31,6,7,333,39
"63115, Saint Louis, MO",63115,"21,698",19,16,"21,055","20,956",199,180,180,"21,518",96,2,3,22,40,180,"44,192.58 ","32,550.00 ","18,151.00 ",8,8,61,45,5,26,0,0,5,9
"63116, Saint Louis, MO",63116,"42,440","3,022","2,970","8,739","8,527","27,502","26,032","3,361","39,079",90,41,9,"1,657",231,"26,032","57,054.71 ","45,562.00 ","25,283.00 ",954,950,"13,459","1,013",366,31,4,12,541,59
"63117, Saint Louis, MO",63117,"9,503",455,442,"1,124","1,082","7,626","7,482",266,"9,237",15,3,2,187,14,"7,482","96,977.42 ","67,100.00 ","48,346.00 ",206,206,"3,860",104,14,6,0,0,81,3
