Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"19355, Malvern, PA",19355,"25,189","2,180","2,265",691,679,"21,611","20,747","1,093","24,096",39,13,5,731,61,"20,747","154,737.51 ","116,016.00 ","56,659.00 ",683,682,"8,033",269,54,7,1,3,191,13
"19358, Modena, PA",19358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"19365, Parkesburg, PA",19365,"6,681",76,80,591,614,"5,733","5,403",403,"6,278",24,5,2,263,29,"5,403","83,950.60 ","73,998.00 ","30,133.00 ",22,22,"2,084",92,15,5,0,2,68,2
"19367, Pomeroy, PA",19367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"19372, Thorndale, PA",19372,"2,913",165,172,338,349,"2,299","2,200",123,"2,790",5,0,1,72,19,"2,200","107,412.16 ","84,530.00 ","40,987.00 ",53,53,905,34,5,1,0,0,25,3
"19373, Thornton, PA",19373,"2,582",122,118,152,146,"2,256","2,245",29,"2,553",0,0,0,22,1,"2,245","178,468.98 ","161,475.00 ","55,056.00 ",29,29,727,6,1,0,0,0,5,0
"19374, Toughkenamon, PA",19374,"1,706",96,87,45,37,"1,355","1,176",385,"1,321",5,7,3,190,17,"1,176","180,858.34 ","126,282.00 ","55,957.00 ",26,25,441,78,32,1,1,2,39,3
"19375, Unionville, PA",19375,566,5,3,90,53,329,188,318,248,9,0,1,172,7,188,"73,211.73 ","64,167.00 ","23,154.00 ",1,1,116,79,28,3,0,0,47,1
"19380, West Chester, PA",19380,"50,888","2,555","2,610","2,753","2,695","43,811","41,811","2,885","48,003",140,19,24,"1,812",151,"41,811","120,871.35 ","95,575.00 ","48,280.00 ",852,846,"17,799",780,197,37,6,4,506,30
"19382, West Chester, PA",19382,"57,237","2,321","2,411","3,369","3,322","49,702","47,794","2,597","54,640",192,33,15,"1,610",146,"47,794","127,544.87 ","99,229.00 ","45,077.00 ",721,717,"17,756",627,143,36,4,7,406,31
"19383, West Chester, PA",19383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"19390, West Grove, PA",19390,"14,424",202,178,865,767,"12,055","10,404","2,842","11,582",53,30,14,"1,720",91,"10,404","103,055.60 ","87,790.00 ","35,187.00 ",51,47,"4,325",592,188,9,4,6,366,19
"19401, Norristown, PA",19401,"42,122","1,499","1,293","14,195","12,727","19,698","16,416","10,532","31,590",613,125,119,"4,302",838,"16,416","72,025.72 ","57,613.00 ","27,135.00 ",572,538,"8,367","2,438",968,184,34,25,"1,043",184
"19403, Norristown, PA",19403,"44,264","3,646","3,658","3,884","3,842","35,602","34,611","1,395","42,869",74,5,19,922,87,"34,611","108,286.81 ","88,607.00 ","44,136.00 ","1,188","1,185","14,825",390,70,14,3,2,278,23
"19405, Bridgeport, PA",19405,"5,402",204,192,466,429,"4,274","3,962",664,"4,738",13,11,2,353,49,"3,962","72,847.63 ","55,495.00 ","31,476.00 ",68,68,"1,935",194,65,4,0,2,113,10
"19406, King Of Prussia, PA",19406,"23,588","4,430","4,399","1,471","1,425","16,695","16,037","1,085","22,503",45,22,28,662,60,"16,037","105,070.96 ","87,006.00 ","45,308.00 ","1,596","1,589","7,590",330,77,11,7,5,220,10
"19422, Blue Bell, PA",19422,"19,369","2,322","2,325","1,340","1,325","15,249","14,858",519,"18,850",17,3,1,384,34,"14,858","151,275.24 ","116,829.00 ","60,243.00 ",718,717,"6,303",144,20,3,1,0,113,7
"19425, Chester Springs, PA",19425,"13,077","1,306","1,341",206,210,"11,337","11,007",331,"12,746",2,1,0,284,14,"11,007","173,003.04 ","153,794.00 ","59,728.00 ",363,363,"4,014",82,7,1,0,0,72,2
