Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"80233, Denver, CO",80233,"48,424","1,924","2,623","1,016","1,229","38,814","29,091","13,660","34,764",155,361,86,"8,025","1,184","29,091","75,802.96 ","66,129.00 ","27,813.00 ",513,492,"15,006","3,558","1,034",29,99,"2,147",228
"80234, Denver, CO",80234,"28,229","1,586","2,098",518,628,"22,930","18,547","6,019","22,210",54,147,37,"3,425",538,"18,547","87,404.53 ","70,461.00 ","35,415.00 ",455,445,"9,808","1,714",532,9,51,988,124
"80235, Denver, CO",80235,"8,543",421,384,377,327,"6,563","5,234","2,245","6,298",37,64,22,"1,371",190,"5,234","90,049.31 ","64,703.00 ","34,478.00 ",121,115,"2,697",595,151,5,16,375,42
"80236, Denver, CO",80236,"17,568","1,061",961,454,351,"12,048","8,042","7,750","9,818",80,170,38,"4,122",508,"8,042","63,717.09 ","51,921.00 ","24,395.00 ",266,253,"4,975","2,192",835,17,48,"1,154",125
"80237, Denver, CO",80237,"19,944",951,869,"1,692","1,507","15,787","14,926","2,022","17,922",57,64,8,"1,116",223,"14,926","88,702.68 ","65,554.00 ","45,829.00 ",353,348,"8,722",790,218,19,24,459,65
"80238, Denver, CO",80238,"13,908",566,514,"1,712","1,553","10,745","9,472","1,833","12,075",45,29,14,"1,464",107,"9,472","131,255.61 ","122,921.00 ","45,620.00 ",169,164,"3,515",242,40,10,5,167,15
"80239, Denver, CO",80239,"41,905","1,061","1,006","11,950","11,352","16,687","5,125","22,924","18,981",524,439,48,"11,654","1,758","5,125","64,909.11 ","53,590.00 ","18,379.00 ",268,258,"4,816","4,755","1,835",104,88,"2,353",365
"80241, Thornton, CO",80241,"32,638","1,324","1,894",547,731,"27,820","22,388","6,193","26,445",49,179,34,"4,138",529,"22,388","99,183.52 ","88,741.00 ","35,239.00 ",354,346,"10,225","1,627",367,10,54,"1,090",98
"80246, Denver, CO",80246,"14,393",764,697,"1,233","1,097","10,440","8,783","3,279","11,114",60,62,19,"1,817",250,"8,783","66,533.90 ","47,299.00 ","35,854.00 ",336,328,"5,934","1,209",403,26,29,656,87
"80247, Denver, CO",80247,"27,089","1,454","1,382","5,858","5,531","16,319","13,672","5,495","21,594",179,119,35,"2,860",468,"13,672","52,932.56 ","39,844.00 ","28,417.00 ",610,599,"9,849","1,901",651,62,38,985,154
