Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"77586, Seabrook, TX",77586,"22,429","1,006","1,301",797,"1,010","19,391","16,451","3,013","19,416",31,33,19,"2,224",194,"118,341.78 ","95,579.00 ","46,991.00 ",274,"7,915",843,132,2,3,8,664,34,271
"77587, South Houston, TX",77587,"17,899",120,43,343,108,"12,556","1,593","16,074","1,825",94,147,19,"11,270",622,"55,562.05 ","42,340.00 ","15,683.00 ",34,"3,616","4,238","1,024",18,3,32,"2,976",185,31
"77590, Texas City, TX",77590,"30,042",279,238,"5,892","5,493","19,573","13,510","10,191","19,851",148,116,30,"6,352",590,"71,773.03 ","53,946.00 ","26,021.00 ",98,"7,284","2,867",859,16,7,26,"1,870",89,91
"77591, Texas City, TX",77591,"13,199",219,215,"7,297","7,166","4,703","3,471","2,069","11,130",118,30,4,"1,245",159,"65,420.91 ","55,895.00 ","26,196.00 ",90,"1,912",625,153,17,1,5,422,27,89
"77597, Wallisville, TX",77597,849,10,11,93,111,692,636,63,786,3,3,1,27,8,"98,070.95 ","82,813.00 ","38,813.00 ",1,275,16,3,0,0,1,11,1,1
"77598, Webster, TX",77598,"28,099","2,159","2,447","3,923","4,335","18,134","11,884","8,600","19,499",185,93,49,"5,201",556,"66,835.35 ","54,153.00 ","30,266.00 ",773,"8,677","3,014",847,59,16,29,"1,895",168,757
"77617, Gilchrist, TX",77617,531,5,6,12,13,460,406,83,448,0,1,0,50,6,"85,942.48 ","79,167.00 ","41,790.00 ",1,234,21,7,0,0,1,12,1,1
"77623, High Island, TX",77623,412,1,1,2,1,380,357,35,377,1,2,0,17,0,"57,819.21 ","57,143.00 ","24,840.00 ",0,168,8,2,0,0,1,5,0,0
"77650, Port Bolivar, TX",77650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"77651, Port Neches, TX",77651,"12,928",336,491,237,334,"11,666","10,397","1,429","11,499",21,44,18,880,78,"83,614.05 ","68,955.00 ","33,115.00 ",84,"4,749",437,124,4,6,14,274,15,78
"78931, Bleiblerville, TX",78931,341,0,0,10,17,318,283,37,304,0,0,0,26,3,"69,261.54 ","66,667.00 ","28,844.00 ",0,136,11,2,0,0,0,8,1,0
"78944, Industry, TX",78944,591,0,0,47,59,511,441,80,511,4,1,0,51,4,"72,748.15 ","64,535.00 ","30,146.00 ",0,212,22,5,1,0,0,15,1,0
