Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"55413, Minneapolis, MN",55413,"13,305",538,529,"1,738","1,701","9,224","8,691","1,500","11,805",29,82,7,547,128,"8,691","70,544.01 ","54,812.00 ","32,733.00 ",197,194,"4,736",365,131,13,3,14,176,28
"55414, Minneapolis, MN",55414,"26,425","3,818","3,827","2,091","2,080","19,041","18,460",976,"25,449",20,36,8,550,76,"18,460","56,108.84 ","33,850.00 ","23,352.00 ","1,526","1,521","7,724",329,68,7,5,6,219,24
"55415, Minneapolis, MN",55415,"1,781",137,137,424,420,"1,092","1,055",69,"1,712",5,3,0,36,3,"1,055","108,925.12 ","69,471.00 ","60,484.00 ",72,72,664,22,4,1,0,1,14,2
"55416, Minneapolis, MN",55416,"30,044","1,254","1,263","1,593","1,576","25,746","25,082","1,113","28,931",30,14,2,631,91,"25,082","112,244.83 ","82,360.00 ","57,490.00 ",609,608,"13,574",359,84,8,1,1,242,23
"55417, Minneapolis, MN",55417,"25,880",681,675,"2,180","2,159","20,324","19,559","2,128","23,752",33,38,9,744,208,"19,559","92,776.37 ","79,295.00 ","40,352.00 ",193,190,"9,692",471,190,8,3,11,218,41
"55418, Minneapolis, MN",55418,"31,012","1,190","1,177","3,350","3,275","22,687","21,655","3,148","27,864",67,81,10,"1,047",390,"21,655","77,071.70 ","61,198.00 ","33,852.00 ",350,349,"11,123",697,290,15,1,13,306,72
"55419, Minneapolis, MN",55419,"27,235",813,808,"2,619","2,582","21,766","21,166","1,438","25,797",42,23,7,591,146,"21,166","125,256.34 ","99,822.00 ","52,319.00 ",240,237,"9,561",329,114,13,3,4,167,28
"55420, Minneapolis, MN",55420,"23,660","1,985","1,955","2,677","2,625","16,045","15,131","2,813","20,847",42,15,22,936,157,"15,131","67,329.28 ","56,588.00 ","28,855.00 ",627,622,"7,834",607,299,10,5,3,257,33
"55421, Minneapolis, MN",55421,"28,064","1,570","1,542","4,056","3,947","19,099","17,868","3,156","24,908",52,50,6,"1,332",192,"17,868","66,353.22 ","54,333.00 ","28,781.00 ",475,473,"9,404",698,300,14,2,12,331,39
"55422, Minneapolis, MN",55422,"29,950","1,104","1,094","3,485","3,415","23,418","22,755","1,342","28,608",85,20,15,637,118,"22,755","92,185.23 ","71,558.00 ","40,051.00 ",306,300,"10,900",315,87,19,6,5,176,22
"55423, Minneapolis, MN",55423,"36,859","2,520","2,448","3,683","3,518","24,744","22,373","6,892","29,967",89,72,19,"2,535",339,"22,373","76,337.41 ","60,947.00 ","32,648.00 ",814,811,"12,091","1,516",689,31,3,12,715,66
"55424, Minneapolis, MN",55424,"10,345",308,306,209,201,"9,520","9,357",241,"10,104",7,2,0,167,23,"9,357","201,930.45 ","146,293.00 ","73,276.00 ",80,80,"3,575",52,9,0,0,1,38,4
"55425, Minneapolis, MN",55425,"8,547",654,639,"1,381","1,346","5,074","4,693","1,433","7,114",16,22,6,414,82,"4,693","72,700.53 ","54,015.00 ","31,022.00 ",215,214,"2,557",322,173,4,1,2,118,24
"55426, Minneapolis, MN",55426,"26,471","1,267","1,269","2,548","2,533","20,851","20,234","1,290","25,181",34,20,8,579,137,"20,234","83,164.83 ","69,827.00 ","39,274.00 ",515,514,"10,318",339,103,14,1,5,185,31
"55427, Minneapolis, MN",55427,"22,560",986,980,"2,460","2,439","17,787","17,287",983,"21,577",38,13,13,471,93,"17,287","89,755.37 ","74,563.00 ","39,187.00 ",339,335,"8,157",244,70,11,4,5,138,16
"55428, Minneapolis, MN",55428,"31,342","1,981","1,956","6,936","6,823","19,058","17,949","3,182","28,160",83,44,16,"1,155",176,"17,949","65,596.23 ","52,904.00 ","26,249.00 ",520,518,"8,717",703,313,25,2,10,313,40
