Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"60154, Westchester, IL",60154,"16,703",696,803,"2,450","2,819","12,414","10,161","2,641","14,062",47,28,11,"1,678",163,"10,161","86,445.74 ","77,025.00 ","36,041.00 ",234,231,"5,479",679,171,7,3,9,455,34
"60155, Broadview, IL",60155,"8,082",114,110,"5,834","5,855","1,710","1,222",772,"7,310",49,6,5,416,63,"1,222","77,198.27 ","59,991.00 ","30,611.00 ",39,37,741,198,56,12,2,2,112,14
"60156, Lake In The Hills, IL",60156,"27,749","1,705","1,912",624,681,"23,843","21,249","3,317","24,432",23,47,17,"2,221",206,"21,249","108,954.77 ","96,001.00 ","35,358.00 ",467,463,"8,029",739,191,6,4,8,504,26
"60157, Medinah, IL",60157,"2,340",124,136,82,81,"2,046","1,875",206,"2,134",9,1,2,145,9,"1,875","104,652.88 ","82,576.00 ","40,225.00 ",36,36,806,45,10,1,0,0,31,3
"60160, Melrose Park, IL",60160,"24,657",516,379,"1,853","1,306","14,725","5,301","17,474","7,183",211,112,40,"9,908",773,"5,301","63,015.28 ","49,336.00 ","19,893.00 ",151,145,"4,976","4,249","1,546",38,6,24,"2,442",193
"60162, Hillside, IL",60162,"8,498",405,408,"3,036","3,047","3,916","2,509","2,409","6,089",53,23,6,"1,332",162,"2,509","77,703.23 ","67,869.00 ","28,047.00 ",129,129,"1,535",561,191,10,0,7,316,37
"60163, Berkeley, IL",60163,"5,305",214,209,"1,638","1,633","2,635","1,616","1,728","3,577",29,22,8,990,79,"1,616","88,542.61 ","70,448.00 ","32,149.00 ",61,60,"1,107",401,135,3,1,3,246,13
"60164, Melrose Park, IL",60164,"20,634",728,673,812,718,"14,417","7,557","11,457","9,177",80,113,41,"6,893",516,"7,557","74,763.31 ","64,149.00 ","23,748.00 ",228,223,"4,851","2,554",857,16,5,16,"1,556",104
"60165, Stone Park, IL",60165,"5,093",133,42,113,33,"2,537",368,"4,627",466,19,63,13,"2,351",185,368,"61,356.41 ","47,808.00 ","15,353.00 ",38,36,674,"1,023",447,2,2,12,529,31
"60169, Hoffman Estates, IL",60169,"33,036","6,889","7,272","2,116","2,142","20,708","16,011","6,803","26,233",102,71,53,"4,084",366,"16,011","85,418.97 ","71,176.00 ","31,668.00 ","2,178","2,164","8,299","1,718",535,22,14,18,"1,046",83
"60171, River Grove, IL",60171,"10,090",253,488,155,242,"8,860","7,052","2,057","8,033",33,33,7,"1,321",122,"7,052","62,212.40 ","49,855.00 ","24,887.00 ",83,82,"3,634",562,158,7,1,10,356,30
"60172, Roselle, IL",60172,"24,323","2,462","2,657",667,716,"20,155","18,213","2,196","22,127",10,15,23,"1,620",121,"18,213","106,146.39 ","88,822.00 ","40,085.00 ",797,793,"7,901",548,106,2,4,3,408,25
"60173, Schaumburg, IL",60173,"12,739","3,939","4,100",749,736,"7,326","6,019","1,551","11,188",43,16,8,"1,095",68,"6,019","93,664.01 ","70,051.00 ","42,393.00 ","1,579","1,577","3,616",486,95,9,2,4,356,20
"60174, Saint Charles, IL",60174,"32,262","1,039","1,222",650,737,"28,913","26,578","3,222","29,040",31,39,13,"1,940",183,"26,578","116,050.25 ","92,519.00 ","45,187.00 ",313,309,"11,556",753,242,6,4,11,456,34
"60175, Saint Charles, IL",60175,"25,126",888,"1,001",492,531,"22,753","21,363","1,802","23,324",25,15,9,"1,153",96,"21,363","154,085.48 ","130,030.00 ","48,496.00 ",236,234,"7,328",356,114,3,2,2,221,14
"60176, Schiller Park, IL",60176,"11,949",753,"1,109",242,302,"9,729","7,310","3,032","8,917",39,50,9,"1,891",155,"7,310","64,000.44 ","50,501.00 ","23,649.00 ",206,205,"3,787",810,235,4,1,9,531,30
"60177, South Elgin, IL",60177,"23,768","1,709","1,780","1,164","1,138","18,772","16,175","4,129","19,639",88,116,27,"2,407",279,"16,175","106,831.27 ","91,845.00 ","36,207.00 ",454,447,"6,572",959,301,14,7,21,572,44
"60178, Sycamore, IL",60178,"22,384",279,255,713,650,"20,103","19,251","1,869","20,515",26,29,9,925,151,"19,251","83,342.72 ","71,512.00 ","32,851.00 ",98,97,"7,995",464,180,3,1,4,262,14
"60180, Union, IL",60180,"1,613",17,19,10,12,"1,554","1,468",94,"1,519",0,1,1,78,2,"1,468","87,741.30 ","77,123.00 ","31,843.00 ",4,4,570,27,4,0,0,0,23,0
"60181, Villa Park, IL",60181,"28,948","2,693","2,620","1,783","1,702","21,849","18,465","5,573","23,375",60,53,40,"3,445",209,"18,465","95,474.75 ","75,421.00 ","35,562.00 ",846,841,"8,710","1,210",389,9,5,9,753,45
"60184, Wayne, IL",60184,"3,327",374,405,51,53,"2,812","2,648",170,"3,157",2,1,1,125,11,"2,648","165,331.82 ","134,250.00 ","52,927.00 ",95,95,936,35,6,1,0,0,26,2
"60185, West Chicago, IL",60185,"36,262","2,033","1,526","1,064",701,"26,369","16,862","16,489","19,773",146,127,33,"10,410",467,"16,862","107,860.29 ","83,739.00 ","31,836.00 ",537,530,"8,314","3,278","1,071",27,7,24,"2,026",123
"60187, Wheaton, IL",60187,"29,334","1,363","1,460","1,226","1,299","25,760","24,275","1,559","27,775",20,21,7,"1,235",89,"24,275","112,125.63 ","94,049.00 ","38,573.00 ",384,381,"8,928",330,50,5,3,6,248,18
"60188, Carol Stream, IL",60188,"44,215","6,854","6,895","2,864","2,735","30,986","26,894","6,501","37,714",167,70,56,"3,940",336,"26,894","100,355.09 ","85,689.00 ","35,689.00 ","2,028","2,018","11,813","1,571",476,26,10,18,967,74
"60189, Wheaton, IL",60189,"30,804","2,037","2,151","1,314","1,379","26,418","24,910","1,625","29,179",15,18,10,"1,261",72,"24,910","137,400.37 ","105,014.00 ","53,207.00 ",700,696,"10,529",417,67,7,4,3,317,19
"60190, Winfield, IL",60190,"11,282",368,418,325,370,"10,158","9,302",933,"10,349",4,9,4,718,31,"9,302","121,040.51 ","100,636.00 ","43,404.00 ",111,108,"3,712",185,37,0,3,3,136,6
"60191, Wood Dale, IL",60191,"15,019",884,830,233,192,"12,170","9,812","3,899","11,120",30,24,6,"2,434",151,"9,812","84,816.22 ","68,420.00 ","30,502.00 ",279,279,"4,634",844,282,6,0,6,518,32
"60192, Hoffman Estates, IL",60192,"16,138","3,919","4,107",299,296,"11,163","10,012","1,369","14,769",17,27,11,921,73,"10,012","137,032.83 ","115,638.00 ","46,048.00 ","1,139","1,136","4,021",325,69,3,3,5,231,14
"60193, Schaumburg, IL",60193,"41,708","6,186","6,882","1,174","1,241","32,318","29,052","3,514","38,194",64,19,29,"2,303",262,"29,052","97,001.38 ","82,834.00 ","38,849.00 ","2,097","2,091","13,612",956,222,14,6,4,664,46
"60194, Schaumburg, IL",60194,"21,439","4,541","4,832","1,079","1,081","14,357","12,246","2,710","18,729",68,30,24,"1,690",155,"12,246","98,909.02 ","85,057.00 ","39,133.00 ","1,438","1,432","6,261",693,197,13,6,9,450,18
"60195, Schaumburg, IL",60195,"6,368","1,780","1,892",322,320,"3,867","3,287",681,"5,687",23,4,10,425,47,"3,287","102,201.69 ","90,338.00 ","45,304.00 ",750,747,"1,806",206,51,2,3,1,140,9
"60201, Evanston, IL",60201,"44,290","5,093","5,231","6,202","6,245","30,317","27,852","3,410","40,880",160,48,32,"2,041",287,"27,852","115,221.69 ","75,663.00 ","45,624.00 ","1,641","1,630","12,406",823,174,39,11,10,515,74
"60202, Evanston, IL",60202,"32,010","2,001","2,112","7,174","7,439","19,735","17,003","3,942","28,068",234,46,30,"1,991",352,"17,003","105,892.16 ","77,682.00 ","45,775.00 ",877,869,"9,219","1,023",313,48,8,10,567,77
