Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"91042, Tujunga, CA",91042,"28,354","2,760","3,269",487,498,"20,615","15,490","7,489","20,865",75,104,53,"4,201",557,"15,490","90,031.50 ","67,723.00 ","32,901.00 ",896,887,"7,902","1,993",610,19,9,22,"1,192",141
"91046, Verdugo City, CA",91046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"91101, Pasadena, CA",91101,"21,834","5,099","5,308","1,767","1,767","11,398","7,715","6,029","15,805",90,74,62,"3,270",373,"7,715","86,115.38 ","61,429.00 ","44,991.00 ","2,753","2,720","6,300","2,056",610,33,33,25,"1,213",142
"91103, Pasadena, CA",91103,"27,004","2,110","1,954","5,516","5,017","11,554","4,569","14,551","12,453",233,169,52,"7,404",846,"4,569","101,006.81 ","62,271.00 ","31,869.00 ",825,812,"3,589","3,155","1,186",51,13,35,"1,655",215
"91104, Pasadena, CA",91104,"37,414","2,882","2,994","4,155","4,090","22,416","13,901","14,492","22,922",348,223,94,"7,893",943,"13,901","106,460.50 ","75,122.00 ","38,199.00 ","1,030","1,009","8,484","3,600","1,103",76,21,60,"2,094",246
"91105, Pasadena, CA",91105,"13,266","2,005","2,235",567,618,"9,423","7,488","2,357","10,909",21,25,30,"1,538",183,"7,488","167,620.92 ","116,970.00 ","79,117.00 ",937,927,"4,548",776,174,5,10,12,517,58
"91106, Pasadena, CA",91106,"24,900","5,561","5,780","1,690","1,664","13,752","9,472","6,767","18,133",109,81,68,"3,849",444,"9,472","113,923.44 ","74,958.00 ","50,934.00 ","2,360","2,346","6,455","2,215",618,39,14,24,"1,377",143
"91107, Pasadena, CA",91107,"31,962","6,413","6,794","1,718","1,715","19,497","13,737","8,182","23,780",124,112,99,"5,051",546,"13,737","119,308.54 ","90,938.00 ","47,666.00 ","2,489","2,456","8,218","2,481",626,33,33,40,"1,608",141
"91108, San Marino, CA",91108,"13,685","7,265","7,445",78,77,"5,627","4,712","1,004","12,681",3,5,30,690,96,"4,712","227,899.63 ","149,394.00 ","75,949.00 ","2,182","2,177","2,215",247,45,0,5,1,185,11
"91201, Glendale, CA",91201,"23,356","2,189","2,537",312,327,"18,060","14,994","4,102","19,254",37,43,57,"2,387",267,"14,994","75,065.48 ","55,241.00 ","27,068.00 ",778,770,"6,540","1,270",380,7,8,15,778,82
"91202, Glendale, CA",91202,"23,649","3,923","4,347",371,390,"17,453","15,072","2,635","21,014",23,23,47,"1,738",199,"15,072","102,948.97 ","74,093.00 ","39,971.00 ","1,435","1,420","6,857",869,185,7,15,9,597,56
"91203, Glendale, CA",91203,"14,200","2,433","2,805",245,258,"9,512","7,454","2,794","11,406",23,20,24,"1,500",176,"7,454","64,990.04 ","48,949.00 ","24,802.00 ",907,901,"3,693",888,281,6,6,5,535,55
