Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"47591, Vincennes, IN",47591,26494,214,210,1026,1004,24586,24393,418,26076,10,7,2,211,62,24393,60,60,190,10051,106,34,0,0,1,65,6,57660.612143268,45609,23228
"46545, Mishawaka, IN",46545,26328,870,878,2490,2488,21682,20721,1529,24799,43,18,7,893,138,20721,382,379,1116,9899,421,124,15,3,7,243,29,54250.139813243,41080,24499
"46239, Indianapolis, IN",46239,26297,721,733,3579,3635,20423,19714,1404,24893,29,12,5,588,115,19714,189,189,1116,7834,349,176,4,0,3,153,13,84690.371759747,71775,30692
"46234, Indianapolis, IN",46234,25953,769,771,3489,3509,20091,19304,1506,24447,23,30,8,723,118,19304,217,215,1153,8016,357,155,5,2,7,173,15,90790.651945645,76020,34175
"46268, Indianapolis, IN",46268,25784,849,846,10678,10542,10906,9914,3468,22316,108,34,1,1024,209,9914,331,330,4351,5705,1006,571,34,1,11,331,57,67273.743743921,51895,30024
"46628, South Bend, IN",46628,25373,329,314,8491,8347,14729,13859,2140,23233,96,25,13,924,209,13859,102,100,2995,6443,483,182,23,2,4,243,29,57670.294672419,46230,22924
"46256, Indianapolis, IN",46256,24871,765,765,3602,3607,19046,18361,1347,23524,44,5,10,615,95,18361,301,297,1490,8381,396,151,15,4,2,206,18,105558.90992962,83104,44989
"46214, Indianapolis, IN",46214,24215,375,370,7810,7724,13508,12691,2604,21611,120,10,7,777,167,12691,153,148,3260,6715,790,460,39,5,4,242,40,60219.484126254,47472,27432
"46158, Mooresville, IN",46158,24075,121,109,68,63,23530,23385,246,23829,0,5,3,181,19,23385,24,22,15,8908,74,10,0,2,2,58,2,79736.651813357,64651,29992
"46324, Hammond, IN",46324,23934,259,221,5723,4981,14005,10479,7740,16194,249,71,16,4092,542,10479,63,59,1831,5957,1974,732,41,4,21,1086,90,58823.972541076,48145,22084
"46322, Highland, IN",46322,23891,423,415,1079,1044,20938,18606,3412,20479,37,21,8,2330,244,18606,140,138,459,8911,966,237,3,2,10,659,55,78407.474627467,68479,32695
"46321, Munster, IN",46321,23628,1558,1579,889,890,19909,18079,2668,20960,16,15,9,1775,175,18079,472,469,280,7972,670,178,3,3,5,456,25,99421.096320106,81288,38611
"46725, Columbia City, IN",46725,23576,79,76,94,88,22865,22644,390,23186,3,12,0,240,43,22644,21,21,15,9165,108,26,0,0,3,67,12,67276.083172355,57604,27055
"46953, Marion, IN",46953,23538,89,87,3284,3288,18666,17951,1277,22261,62,4,4,628,136,17951,15,15,1539,6868,258,103,10,0,0,125,20,48555.6,39564,19127
"46563, Plymouth, IN",46563,23532,150,122,145,98,21713,20214,2758,20774,29,35,5,1605,180,20214,34,34,19,8377,551,199,4,0,8,315,25,66514.091208542,51794,25411
"46375, Schererville, IN",46375,23451,761,784,1114,1144,20402,18560,2567,20884,16,6,9,1748,189,18560,240,239,396,8548,710,173,3,1,3,502,28,95131.8515625,81799,38569
"47331, Connersville, IN",47331,23326,93,96,282,294,22570,22398,203,23123,4,2,2,132,15,22398,24,24,153,9071,57,8,2,0,1,44,2,51830.450902874,40359,21125
"46304, Chesterton, IN",46304,23195,374,454,305,357,21792,20439,1550,21645,14,15,5,1129,95,20439,97,96,109,8471,380,87,2,1,2,269,19,92235.929785079,74038,35495
"46041, Frankfort, IN",46041,23018,40,28,138,112,19776,17986,4663,18355,4,30,6,1863,230,17986,15,13,28,7567,856,477,2,2,9,343,23,60884.251083815,48483,22222
"46052, Lebanon, IN",46052,22935,158,157,118,117,22176,21789,596,22339,2,4,2,382,50,21789,27,27,26,8931,158,38,0,0,2,109,9,74503.878841089,57357,29913
"47404, Bloomington, IN",47404,22908,545,518,710,658,20599,20326,726,22182,30,6,9,336,64,20326,216,213,360,8899,180,67,11,3,2,83,14,53280.108990713,37511,23220
"46517, Elkhart, IN",46517,22899,161,112,2777,2526,16650,14368,5287,17612,131,65,44,2435,254,14368,50,47,909,6298,1149,556,18,3,10,504,58,60686.949513837,50000,22214
"46806, Fort Wayne, IN",46806,22625,726,654,12367,11909,6211,4943,4203,18422,154,53,55,1612,388,4943,191,179,4391,2569,999,503,34,12,14,394,42,43164.72881569,32603,15296
"46805, Fort Wayne, IN",46805,22051,1094,1128,2098,2140,17408,16491,1457,20594,45,13,11,752,219,16491,281,279,744,7841,388,128,5,2,5,215,33,51356.102741953,41963,22687
"46845, Fort Wayne, IN",46845,21951,580,629,415,447,20462,19987,498,21453,4,7,2,356,32,19987,147,147,129,7107,110,25,1,0,1,77,6,111370.4316085,92110,37950
"46323, Hammond, IN",46323,21950,498,419,4036,3438,13916,10499,7125,14825,182,56,28,3940,460,10499,132,125,1403,5650,1866,662,33,7,16,1056,92,60147.70310192,51892,22734
"47025, Lawrenceburg, IN",47025,21949,145,138,287,274,21124,21000,249,21700,7,3,4,140,38,21000,30,30,88,8034,50,15,2,0,1,27,5,80649.41769847,68623,30514
"46208, Indianapolis, IN",46208,21624,196,189,12484,12437,8118,7845,558,21066,78,4,7,241,85,7845,44,43,5513,2612,141,33,20,1,2,69,15,60359.722169363,39160,24216
