Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"47167, Salem, IN",47167,14844,72,76,38,38,14554,14449,167,14677,2,9,1,91,29,14449,18,18,7,5701,36,8,0,0,2,23,3,56763.061125541,45720,22412
"46714, Bluffton, IN",46714,14709,59,51,68,58,14221,13995,427,14282,6,4,4,247,39,13995,16,15,29,5718,121,46,0,1,2,68,4,64264.315825375,51890,26137
"46228, Indianapolis, IN",46228,14708,311,302,7473,7412,5908,5619,807,13901,70,17,9,279,54,5619,120,118,3016,2579,202,94,15,2,2,78,11,88282.398859443,68517,36055
"46122, Danville, IN",46122,14542,92,88,100,100,14075,13916,229,14313,0,1,4,159,19,13916,17,16,33,5223,52,14,0,1,0,37,0,86567.553243345,72660,31924
"46373, Saint John, IN",46373,14508,202,229,231,254,13437,12427,1376,13132,13,2,6,908,85,12427,51,49,64,4714,340,96,1,2,1,229,11,108603.81201044,99693,37305
"47170, Scottsburg, IN",47170,14461,80,76,36,31,14143,14025,240,14221,5,1,5,117,24,14025,27,26,6,5607,54,17,1,1,1,30,4,55362.822682584,46068,22350
"47601, Boonville, IN",47601,14354,50,50,68,67,14007,13922,133,14221,1,2,0,85,6,13922,15,15,21,5500,29,8,1,0,1,19,0,75252.377769836,61334,29660
"46113, Camby, IN",46113,14218,169,170,746,726,12705,12396,630,13588,44,6,5,268,64,12396,40,38,189,4547,152,51,9,2,1,79,10,83987.667687283,73419,29094
"46975, Rochester, IN",46975,14161,108,130,112,133,13649,13275,431,13730,1,2,0,298,20,13275,19,19,40,5477,115,31,0,0,0,80,4,62206.911280326,46882,25117
"46617, South Bend, IN",46617,13994,480,470,2335,2303,10375,9660,1133,12861,26,7,9,723,102,9660,96,95,797,2896,183,45,8,1,1,118,10,76622.251583481,54812,23616
"46303, Cedar Lake, IN",46303,13780,70,92,93,124,13050,12370,912,12868,3,4,3,543,92,12370,14,13,28,4837,215,63,0,1,1,133,17,78101.929070929,67661,28401
"46107, Beech Grove, IN",46107,13656,109,111,435,459,12360,12072,613,13043,12,10,7,212,68,12072,38,35,137,5193,169,81,4,3,3,67,10,57847.12874684,48420,24254
"47620, Mount Vernon, IN",47620,13345,38,38,259,257,12783,12713,153,13192,3,2,0,69,22,12713,13,13,80,5098,43,11,1,0,0,26,5,79584.797752809,63947,31559
"46184, Whiteland, IN",46184,13188,228,212,145,139,12413,12186,371,12817,2,2,11,243,41,12186,58,57,45,4421,96,17,1,1,1,69,7,72170.132608696,66451,25188
"46040, Fortville, IN",46040,13003,119,119,1522,1510,11071,10831,367,12636,7,6,0,245,18,10831,34,34,67,3599,50,17,0,0,1,28,4,90849.098692985,70337,26547
"46561, Osceola, IN",46561,12961,191,210,364,395,12055,11770,317,12644,6,3,1,203,33,11770,52,52,101,4458,66,17,0,0,2,42,5,76239.398761213,68151,27730
"46310, Demotte, IN",46310,12892,62,58,30,30,12374,11839,833,12059,3,9,10,513,36,11839,11,9,9,4624,166,57,0,2,2,102,3,74680.699831366,68246,27990
"47670, Princeton, IN",47670,12843,66,64,609,590,11629,11557,219,12624,6,5,1,95,36,11557,20,20,226,4831,72,22,1,0,1,42,6,63776.688334301,50244,25944
"46259, Indianapolis, IN",46259,12817,284,301,250,250,11925,11678,333,12484,15,2,1,198,31,11678,82,82,74,4081,76,26,2,0,0,46,2,110408.78533302,92333,37119
"46814, Fort Wayne, IN",46814,12739,756,796,488,509,11136,10790,362,12377,6,6,1,263,45,10790,207,206,143,3850,70,11,2,1,2,50,4,173995.517832,130024,58216
"47371, Portland, IN",47371,12700,51,109,33,60,12286,11856,495,12205,5,2,0,245,42,11856,15,15,7,4856,103,62,0,0,0,38,3,55518.486746988,45386,22079
"46403, Gary, IN",46403,12542,62,61,9482,9317,2374,2113,710,11832,151,3,1,275,92,2113,22,22,3739,1290,244,74,28,0,0,123,19,62771.613662239,42220,26745
"46540, Middlebury, IN",46540,12505,76,98,74,96,12071,11783,315,12190,2,7,3,185,18,11783,17,16,16,3898,57,18,0,1,2,34,2,80129.02640181,66275,25560
"46550, Nappanee, IN",46550,12355,33,48,99,150,11845,11361,591,11764,5,9,3,333,44,11361,9,9,24,4013,127,48,1,0,2,66,10,66483.502535619,57707,22400
"46582, Warsaw, IN",46582,12308,282,267,87,74,11045,10203,1554,10754,11,8,6,859,82,10203,72,71,33,4303,384,148,2,1,1,215,17,74532.786680988,61193,28272
"46394, Whiting, IN",46394,12096,99,48,460,214,9414,6679,5025,7071,62,32,9,3072,231,6679,29,25,131,4081,1421,449,8,4,10,896,54,62366.910105394,50134,25143
"46327, Hammond, IN",46327,11945,42,19,1194,566,7769,3942,7266,4679,123,46,6,4482,339,3942,11,10,345,2917,1804,536,16,1,11,1160,80,45872.772420685,35894,15701
"47805, Terre Haute, IN",47805,11886,137,132,199,191,11249,11165,165,11721,1,5,0,103,13,11165,24,24,79,4272,34,10,1,0,1,20,2,67369.875818469,55903,26131
"46036, Elwood, IN",46036,11793,44,47,23,25,11468,11202,382,11411,0,3,0,251,33,11202,15,15,4,4650,93,23,0,0,1,59,7,56377.187064046,45205,22650
"46761, Lagrange, IN",46761,11777,26,31,37,38,11306,11027,585,11192,7,4,2,243,40,11027,10,10,7,3737,105,52,0,0,1,48,4,63998.881118881,47793,21233
"46405, Lake Station, IN",46405,11700,53,39,722,525,8986,7373,3500,8200,93,22,6,1776,353,7373,12,10,216,3444,943,368,15,2,6,478,74,50408.104739337,42786,18463
"46055, Mc Cordsville, IN",46055,11682,339,338,1005,1001,9973,9686,385,11297,7,4,2,282,26,9686,96,96,287,3449,86,17,3,0,2,59,5,124276.8872662,97435,41675
"47006, Batesville, IN",47006,11668,156,154,28,25,11227,11079,291,11377,3,6,3,147,29,11079,48,48,7,4190,53,18,1,0,2,28,4,83917.857839721,70760,31722
"46163, New Palestine, IN",46163,11644,92,85,70,65,11335,11272,112,11532,2,1,1,77,16,11272,20,19,13,4162,21,2,1,1,0,15,2,93945.782136106,81362,34155
"46407, Gary, IN",46407,11622,6,6,11188,11069,180,148,225,11397,111,2,0,40,32,148,3,3,4602,70,54,14,26,0,0,11,3,41286.419557041,27237,17431
"47119, Floyds Knobs, IN",47119,11553,158,150,119,113,11109,11041,144,11409,1,1,1,85,16,11041,36,36,35,4130,35,7,0,0,0,25,3,106989.55981087,90906,39474
"47586, Tell City, IN",47586,11363,54,53,295,290,10878,10804,125,11238,1,1,0,80,16,10804,26,26,9,4424,26,4,0,0,0,21,1,58729.067320553,48357,23924
"46534, Knox, IN",46534,11187,24,38,36,58,10895,10530,395,10792,2,4,2,256,39,10530,7,7,14,4197,109,29,0,0,0,75,5,51399.958284782,43214,19728
"46802, Fort Wayne, IN",46802,11022,169,162,2172,2105,7410,6762,1580,9442,59,27,6,658,153,6762,67,65,681,3397,438,190,8,2,9,191,38,43925.513309672,31858,21612
"46173, Rushville, IN",46173,11019,61,59,105,98,10675,10597,141,10878,4,0,0,86,10,10597,13,13,60,4259,38,11,1,0,0,22,4,62625.818764302,49483,25018
"47978, Rensselaer, IN",47978,10961,33,33,94,94,10468,10088,608,10353,3,7,1,371,47,10088,8,8,14,3954,102,36,1,0,3,57,5,69472.012811037,59011,26706
"46613, South Bend, IN",46613,10951,95,78,3208,3007,5759,4983,2394,8557,58,46,13,946,219,4983,27,24,962,2415,523,245,17,3,12,216,30,41639.558969019,34750,14914
"47713, Evansville, IN",47713,10932,37,35,5464,5438,4753,4660,226,10706,22,1,2,97,43,4660,16,15,2136,2159,51,11,7,1,0,22,10,42753.132733408,30966,19902
"47804, Terre Haute, IN",47804,10890,45,43,639,616,9774,9700,191,10699,2,6,0,109,23,9700,15,15,268,4141,53,12,0,0,2,34,5,47663.164079823,36174,20119
"46341, Hebron, IN",46341,10754,59,81,91,120,10376,9816,610,10144,4,6,1,468,54,9816,18,17,25,3909,139,27,0,1,3,103,5,77059.524271845,68790,28811
"47122, Georgetown, IN",47122,10737,76,78,68,70,10391,10311,142,10595,1,2,1,69,16,10311,15,14,20,3857,35,14,1,1,0,18,1,89650.287309645,72520,32977
"46001, Alexandria, IN",46001,10672,34,38,65,72,10399,10277,183,10489,0,0,0,102,12,10277,7,7,20,4265,40,14,0,0,0,22,3,65421.114648212,49659,26975
"47460, Spencer, IN",47460,10523,56,53,21,20,10286,10204,118,10405,0,3,1,91,12,10204,14,13,7,4111,21,3,0,1,1,15,1,59827.382183908,47832,23942
"46391, Westville, IN",46391,10276,40,41,1535,1607,8460,7960,568,9708,0,4,1,422,29,7960,10,9,22,2677,74,13,0,1,1,52,6,80399.840262582,73241,22226
"46803, Fort Wayne, IN",46803,10212,197,164,4606,4433,4130,3493,1732,8480,75,36,29,748,186,3493,49,44,1675,1556,411,173,13,5,12,172,36,35954.980641593,28123,14189
"47001, Aurora, IN",47001,10184,49,48,50,47,9952,9884,106,10078,2,4,0,72,7,9884,7,7,10,3833,19,5,1,0,0,13,0,65173.245239321,54911,25052
"47446, Mitchell, IN",47446,10142,34,32,31,29,9894,9856,87,10055,0,0,0,49,6,9856,6,6,9,3999,21,6,0,0,0,15,0,56711.375799311,45684,22924
"46231, Indianapolis, IN",46231,10087,487,478,2147,2133,6462,6038,1023,9064,21,6,10,415,85,6038,133,131,639,2355,235,116,5,2,1,99,12,79688.87946027,70469,26609
"46962, North Manchester, IN",46962,9991,65,69,76,78,9580,9348,327,9664,3,4,1,211,23,9348,15,15,10,3550,81,19,0,0,2,52,8,60609.724848818,52963,22984
"47553, Loogootee, IN",47553,9904,14,16,23,25,9790,9751,51,9853,0,1,0,29,3,9751,6,6,3,3341,7,3,0,0,0,2,2,66780.390091961,52809,23059
"46506, Bremen, IN",46506,9687,56,38,26,15,8930,8467,1085,8602,9,7,12,484,57,8467,11,11,2,3311,213,105,1,0,0,98,9,65621.896373057,53365,23806
"47348, Hartford City, IN",47348,9581,22,21,44,42,9339,9280,104,9477,1,0,0,65,17,9280,4,4,7,3912,34,5,0,0,0,25,4,58502.8671875,45243,24498
"46567, Syracuse, IN",46567,9524,55,72,39,38,9178,8878,361,9163,10,0,0,232,29,8878,14,14,8,3749,83,27,1,0,0,49,6,84524.112503263,62568,34012
"47842, Clinton, IN",47842,9514,18,18,17,14,9341,9278,103,9411,3,2,0,60,9,9278,6,6,6,3838,22,7,0,0,1,14,0,60844.136912407,45189,25223
"46809, Fort Wayne, IN",46809,9386,74,77,940,972,7746,7307,709,8677,19,9,1,366,117,7307,19,19,359,3570,207,63,2,0,3,117,22,50702.694383662,42130,22540
"47885, West Terre Haute, IN",47885,9357,56,52,39,36,9118,9068,90,9267,0,3,0,66,5,9068,4,4,6,3467,21,1,0,0,1,18,1,64945.843562661,54094,24737
"46406, Gary, IN",46406,9326,24,22,6023,5863,2519,1997,1252,8074,79,14,2,605,109,1997,5,5,2302,995,378,138,14,0,7,198,21,45368.663265306,37853,17163
"47542, Huntingburg, IN",47542,9303,26,26,38,31,8326,7890,1246,8057,7,3,0,436,83,7890,6,6,5,3288,320,155,4,0,1,143,17,64289.332293734,55997,24866
"47441, Linton, IN",47441,9299,31,36,6,7,9148,9071,85,9214,0,1,0,58,11,9071,5,5,1,3875,20,4,0,0,0,15,1,57963.992849847,46159,24549
"46072, Tipton, IN",46072,8994,44,41,14,12,8758,8632,210,8784,1,1,1,135,34,8632,13,12,2,3611,52,15,1,1,1,30,4,67183.867138579,57725,27717
"47394, Winchester, IN",47394,8704,40,58,34,45,8455,8285,199,8505,3,1,0,102,20,8285,8,8,5,3434,45,16,1,0,0,27,1,62723.047428571,45297,25474
"46507, Bristol, IN",46507,8690,80,97,131,152,7913,7458,749,7941,7,7,1,367,53,7458,21,21,35,2980,150,67,0,0,4,72,7,80609.721711569,61719,29376
"47882, Sullivan, IN",47882,8539,32,31,115,113,8259,8210,78,8461,3,5,1,47,11,8210,7,7,2,3391,15,1,1,0,0,11,2,60876.525334886,45683,24784
"46767, Ligonier, IN",46767,8525,41,48,21,17,6738,5181,3123,5402,7,7,2,1514,118,5181,10,9,6,2183,596,338,0,1,2,231,24,65658.932453416,51503,20288
"46392, Wheatfield, IN",46392,8483,26,26,51,52,8175,7814,489,7994,2,2,1,352,20,7814,4,4,6,2943,82,25,0,0,0,54,3,80236.545847176,71025,28544
"47012, Brookville, IN",47012,8481,19,23,15,14,8351,8304,81,8400,3,5,0,32,13,8304,3,3,1,3262,12,4,2,0,2,3,1,65895.909753874,52129,25612
"47429, Ellettsville, IN",47429,8474,43,41,68,64,8147,8106,100,8374,1,3,0,54,11,8106,13,13,30,3308,19,6,1,0,1,9,2,62623.905854663,56944,25150
"46124, Edinburgh, IN",46124,8400,15,12,42,36,7850,7624,589,7811,4,6,2,235,33,7624,3,3,13,3093,112,56,1,0,1,51,3,64050.436272982,51466,24807
"46574, Walkerton, IN",46574,8399,29,39,29,38,8112,7893,283,8116,1,3,0,161,32,7893,4,4,9,3174,54,12,1,0,2,36,3,69574.631920817,56033,26916
"46409, Gary, IN",46409,8301,15,13,7258,7146,641,477,518,7783,86,3,2,190,79,477,6,5,2405,307,142,50,11,1,2,69,9,47255.600637845,37690,16215
"46280, Indianapolis, IN",46280,8203,437,438,271,269,7231,6998,277,7926,4,3,3,226,6,6998,154,152,96,3219,76,10,1,2,0,61,2,103465.64405814,80565,44931
"46278, Indianapolis, IN",46278,8180,436,437,2299,2287,5020,4821,390,7790,25,11,1,183,18,4821,153,153,797,2011,95,36,5,0,3,50,1,169150.20505249,113825,63055
"46819, Fort Wayne, IN",46819,8175,53,53,1034,1071,6502,6165,625,7550,14,5,3,270,78,6165,15,13,398,2876,170,72,2,2,2,78,14,63398.831010453,51966,27081
"47424, Bloomfield, IN",47424,8175,35,39,22,25,8039,7959,86,8089,0,6,0,66,6,7959,9,9,1,3318,18,2,0,0,2,13,1,67712.574068554,55682,27967
"46701, Albion, IN",46701,7941,26,32,35,44,7723,7537,199,7742,1,2,1,140,8,7537,2,2,5,2837,33,11,0,0,1,19,2,64245.850901526,55399,23941
"46225, Indianapolis, IN",46225,7800,83,80,875,861,5984,5666,868,6932,35,12,5,287,78,5666,35,32,270,2501,220,108,7,3,3,88,11,41068.428475936,32139,16284
"47872, Rockville, IN",47872,7787,20,19,460,447,7218,7170,92,7695,2,4,1,61,3,7170,3,3,0,2568,12,1,0,0,1,10,0,60712.712466229,49554,21562
"46923, Delphi, IN",46923,7726,12,11,17,11,7404,7132,511,7215,6,4,1,269,43,7132,2,1,6,2898,122,62,2,1,0,53,4,67494.746577629,52190,26419
"46738, Garrett, IN",46738,7619,49,42,41,36,7328,7238,219,7400,2,1,4,103,32,7238,11,10,8,2779,45,16,1,1,1,24,2,60774.288028169,51521,23639
"46565, Shipshewana, IN",46565,7603,11,13,11,13,7501,7438,106,7497,0,1,0,54,11,7438,3,3,2,2078,16,6,0,0,0,8,2,71609.159599809,50340,19770
"47102, Austin, IN",47102,7542,24,24,19,17,7365,7293,144,7398,2,2,0,70,35,7293,7,7,2,2847,31,11,0,0,1,18,1,54577.442946058,43791,20967
"47454, Paoli, IN",47454,7520,18,18,25,25,7341,7292,82,7438,0,4,0,49,3,7292,4,4,6,2909,17,3,0,0,1,13,0,49987.789793849,39667,20053
"46034, Cicero, IN",46034,7485,49,51,51,51,7224,7122,132,7353,3,6,1,90,11,7122,15,15,17,2857,23,6,1,0,1,13,2,85527.567123288,66874,33366
"46711, Berne, IN",46711,7345,29,36,24,30,7152,7004,209,7136,0,0,0,123,11,7004,7,7,5,2277,45,18,0,0,0,25,2,61132.763667671,47141,19652
"46120, Cloverdale, IN",46120,7275,16,13,640,634,6486,6433,100,7175,2,0,3,57,3,6433,2,1,8,2252,9,0,0,1,0,8,0,66586.18692409,53653,22277
"46737, Fremont, IN",46737,7238,41,46,18,19,7106,7003,122,7116,1,1,1,89,2,7003,4,3,4,2932,23,6,0,1,0,16,0,77593.368207897,60234,31767
"47396, Yorktown, IN",47396,7234,54,55,77,71,6951,6889,108,7126,7,6,0,59,7,6889,22,22,21,2797,25,3,1,0,2,17,2,78323.449406839,60684,31149
"47448, Nashville, IN",47448,7234,27,29,24,26,7015,6931,107,7127,0,2,0,68,13,6931,2,2,6,2985,33,5,0,0,1,23,4,71301.941331575,57400,30157
"46723, Churubusco, IN",46723,7016,39,39,11,10,6833,6751,107,6909,1,4,0,80,9,6751,8,8,3,2644,24,3,0,0,0,19,2,75167.571375326,62262,28766
"46402, Gary, IN",46402,6936,9,7,6328,6198,265,141,439,6497,100,4,2,154,39,141,5,5,2563,116,136,46,21,0,2,58,9,35861.414494823,21832,15258
"46996, Winamac, IN",46996,6930,19,15,30,26,6742,6636,179,6751,0,1,2,123,16,6636,5,5,6,2730,37,8,0,0,0,25,4,62194.908108108,48564,25180
"46777, Ossian, IN",46777,6905,21,21,11,11,6742,6682,109,6796,0,1,0,59,4,6682,3,3,3,2605,25,9,0,0,0,15,1,66381.698256255,57852,25577
"47060, West Harrison, IN",47060,6786,21,20,7,6,6719,6696,36,6750,0,0,0,28,2,6696,3,3,1,2494,7,0,0,0,0,7,0,91170.67359169,80320,33628
"46167, Pittsboro, IN",46167,6714,36,38,23,23,6537,6475,92,6622,1,6,0,55,16,6475,7,7,5,2355,21,4,1,0,2,13,1,91521.003757829,81996,32649
"46783, Roanoke, IN",46783,6630,46,50,109,119,6328,6213,144,6486,0,3,0,93,25,6213,9,9,31,2411,28,5,0,0,0,20,3,93595.833131802,82350,35212
"46933, Gas City, IN",46933,6627,26,30,62,69,6338,6179,171,6456,2,5,0,123,18,6179,6,6,11,2608,37,4,0,0,2,28,3,58932.821281379,44909,23795
"47041, Sunman, IN",47041,6526,16,13,19,16,6410,6327,129,6397,0,0,0,96,1,6327,3,3,5,2289,20,5,0,0,0,15,0,74796.76600346,64505,26823
"46160, Morgantown, IN",46160,6513,21,21,12,12,6366,6327,55,6458,0,1,0,38,7,6327,4,4,3,2416,17,4,0,0,1,10,1,70506.324225122,53139,26859
"46552, New Carlisle, IN",46552,6461,18,23,39,49,6227,6082,163,6298,0,2,0,100,23,6082,2,2,10,2416,40,8,0,0,1,23,7,71231.490275527,61324,27747
"46795, Wolcottville, IN",46795,6404,23,28,20,24,6272,6216,85,6319,1,0,1,33,13,6216,7,7,4,2386,12,5,0,0,0,5,2,67747.443938767,56164,25590
"47165, Pekin, IN",47165,6383,15,15,18,16,6250,6170,110,6273,2,4,0,81,6,6170,3,3,5,2360,19,3,0,0,1,15,0,59529.641154329,49590,22299
"46106, Bargersville, IN",46106,6258,53,51,45,43,6032,5964,106,6152,0,2,0,76,9,5964,18,18,21,2240,26,3,0,0,1,21,1,90896.367143476,79487,33512
"46635, South Bend, IN",46635,6253,187,190,743,759,5041,4820,339,5914,4,6,2,193,42,4820,62,62,280,2212,80,22,2,0,1,52,3,78045.550685976,64617,33396
"46069, Sheridan, IN",46069,6203,28,30,34,35,5936,5821,210,5993,1,1,0,106,20,5821,6,6,9,2288,48,17,1,0,0,28,1,78928.317229585,59587,29789
"47918, Attica, IN",47918,6175,13,17,8,11,6037,5906,138,6037,0,4,0,99,6,5906,6,6,2,2380,37,6,0,0,1,30,0,63429.587432824,53659,24985
"47567, Petersburg, IN",47567,6120,17,17,18,18,6019,5995,40,6080,0,0,0,23,9,5995,5,5,4,2416,12,1,0,0,0,8,2,56325.634395425,45079,22880
"46616, South Bend, IN",46616,6069,64,61,1869,1824,3649,3446,522,5547,39,4,3,210,52,3446,26,26,615,1625,132,51,6,0,1,63,11,52373.726056044,34000,21015
"46936, Greentown, IN",46936,6047,38,40,34,35,5887,5835,66,5981,1,0,0,45,8,5835,5,5,18,2289,18,5,1,0,0,11,1,73741.374356775,61337,28750
"47043, Vevay, IN",47043,6013,14,15,20,20,5850,5798,99,5914,1,1,0,44,11,5798,6,6,5,2288,12,4,1,0,0,6,1,56934.747739991,48045,22360
"47243, Hanover, IN",47243,5934,45,42,144,130,5604,5532,162,5772,5,1,0,90,4,5532,10,10,36,1886,49,14,2,0,0,33,0,57905.561769192,48204,20082
"47635, Rockport, IN",47635,5927,20,18,46,40,5773,5714,97,5830,0,1,0,75,6,5714,4,4,30,2298,12,1,0,0,1,10,0,61920.565716716,51797,24947
"47353, Liberty, IN",47353,5764,25,25,29,29,5608,5576,57,5707,0,2,0,34,6,5576,6,6,9,2212,14,6,0,0,0,7,1,59784.717903154,49955,23646
"47356, Middletown, IN",47356,5732,27,26,27,25,5578,5554,43,5689,1,0,0,28,6,5554,4,4,6,2165,8,1,1,0,0,5,1,63259.642987249,53372,24628
"46601, South Bend, IN",46601,5707,34,27,2693,2594,2339,2056,829,4878,39,9,6,348,77,2056,16,14,1000,1058,197,81,7,2,3,90,14,34631.411453744,21892,15653
"47390, Union City, IN",47390,5688,9,10,53,59,5243,5048,525,5163,13,3,2,159,53,5048,0,0,6,2196,116,66,4,0,3,38,5,50413.223385689,41256,20314
"47220, Brownstown, IN",47220,5677,19,20,9,8,5553,5501,83,5594,1,0,0,48,8,5501,9,9,0,2120,13,6,0,0,0,6,1,64336.204545455,51436,25015
"46366, North Judson, IN",46366,5611,11,20,5,4,5480,5210,279,5332,3,4,0,215,21,5210,3,3,0,2129,79,11,1,0,1,61,5,53903.625747126,46198,20895
"46571, Topeka, IN",46571,5611,11,11,7,6,5531,5499,66,5545,1,0,0,34,5,5499,3,3,0,1458,15,7,0,0,0,8,0,72095.531482735,57331,18978
"47031, Milan, IN",47031,5589,10,10,9,9,5488,5465,37,5552,0,5,0,24,2,5465,0,0,2,2022,7,0,0,0,0,7,0,62914.70029383,50449,23507
"46017, Anderson, IN",46017,5570,35,36,99,98,5348,5286,82,5488,2,0,0,59,4,5286,5,5,42,2249,21,4,0,0,0,16,1,60527.188093184,52087,25719
"46121, Coatesville, IN",46121,5557,17,16,28,25,5420,5370,76,5481,3,3,1,52,2,5370,3,3,3,2056,16,4,0,0,0,12,0,76380.256373256,64861,28576
"47330, Centerville, IN",47330,5475,36,36,28,27,5271,5233,78,5397,1,2,0,36,4,5233,8,8,14,2064,16,7,0,0,0,9,0,65963.886568581,51858,25650
"47932, Covington, IN",47932,5436,15,19,9,10,5335,5276,64,5372,1,2,0,37,6,5276,7,7,1,2205,14,1,0,0,0,12,1,70395.141577061,57113,29100
"46765, Leo, IN",46765,5425,52,61,37,42,5234,5149,88,5337,3,1,3,48,19,5149,8,8,7,1725,11,4,1,0,0,5,1,100291.90589569,82528,32803
"47660, Oakland City, IN",47660,5352,17,15,20,17,5208,5182,71,5281,1,2,1,35,6,5182,3,3,2,2096,18,5,1,0,2,9,0,55915.419445749,45242,22709
"47040, Rising Sun, IN",47040,5312,18,17,19,17,5215,5165,77,5235,1,1,0,54,5,5165,4,4,12,2125,19,3,1,0,0,14,1,66588.369907407,54178,27713
"46148, Knightstown, IN",46148,5276,18,17,11,11,5176,5162,26,5250,0,0,1,15,5,5162,4,4,2,2004,7,1,0,0,0,5,1,64073.361083744,54795,24656
"46204, Indianapolis, IN",46204,5193,334,334,1392,1391,3271,3131,207,4986,13,0,3,124,17,3131,207,206,404,1865,80,13,4,1,0,58,4,77156.4450078,53210,42606
"46748, Huntertown, IN",46748,5120,65,77,42,50,4902,4795,114,5006,0,2,0,73,19,4795,15,15,11,1782,27,5,0,0,1,17,4,96238.826158038,79930,34546
"47610, Chandler, IN",47610,5112,28,27,29,27,4961,4937,45,5067,1,0,0,27,6,4937,7,7,11,1886,10,3,0,0,0,7,0,71392.27856025,58982,26844
"46710, Avilla, IN",46710,5096,10,12,19,23,5005,4937,73,5023,0,1,0,52,8,4937,3,3,4,1869,14,5,0,0,0,8,1,67862.968783069,62106,25433
"46590, Winona Lake, IN",46590,5072,61,68,60,66,4662,4411,453,4619,2,4,1,226,21,4411,11,11,13,1551,106,50,0,0,1,54,1,85891.513333333,59289,31023
"46721, Butler, IN",46721,5069,17,18,16,17,4876,4837,152,4917,0,7,0,35,29,4837,4,4,4,1792,32,13,0,0,3,9,7,56245.973282443,46023,20642
"46989, Upland, IN",46989,5067,56,65,67,79,4815,4710,112,4955,1,0,2,65,6,4710,6,6,7,1288,8,5,0,0,0,3,0,68400.900380228,61372,19312
"47462, Springville, IN",47462,5016,29,28,11,11,4870,4833,60,4956,0,5,2,33,7,4833,9,9,3,1912,13,4,0,0,1,7,1,73019.333673991,56329,28489
"46118, Clayton, IN",46118,5015,41,42,16,16,4888,4852,52,4963,0,1,0,34,3,4852,8,8,3,1822,13,2,0,0,0,11,0,79769.516774892,61963,29395
"47452, Orleans, IN",47452,5010,11,11,16,16,4920,4902,29,4981,0,0,0,16,8,4902,1,1,5,1922,7,1,0,0,0,4,2,52521.879160266,41930,20474
"46928, Fairmount, IN",46928,5007,8,9,27,29,4895,4847,55,4952,1,0,0,37,7,4847,4,4,7,2019,13,3,0,0,0,8,2,62207.366568915,49697,25421
"46554, North Liberty, IN",46554,4951,14,15,36,37,4795,4676,126,4825,3,0,1,102,12,4676,4,3,10,1851,23,2,0,1,0,20,0,67807.373608903,57386,25865
"46347, Kouts, IN",46347,4935,23,33,10,14,4836,4629,209,4726,1,2,1,174,14,4629,4,3,3,1742,44,5,0,1,0,38,0,77603.713636364,70382,27686
"46164, Nineveh, IN",46164,4928,10,9,118,119,4742,4715,45,4883,0,4,1,26,7,4715,1,0,5,1798,9,0,0,1,1,7,0,85050.608026388,61854,32293
"47042, Versailles, IN",47042,4911,14,15,5,5,4823,4803,30,4881,0,4,0,17,5,4803,3,3,0,1896,8,1,0,0,1,6,0,56508.270974466,47647,22292
"47532, Ferdinand, IN",47532,4797,13,16,5,6,4692,4660,83,4714,0,0,0,23,19,4660,4,4,1,1724,19,9,0,0,0,6,4,70106.847079038,63819,26751
"47639, Haubstadt, IN",47639,4780,6,6,31,29,4682,4669,29,4751,0,2,0,18,4,4669,2,2,8,1765,10,2,0,0,0,8,0,86879.244270542,80106,32613
"47138, Lexington, IN",47138,4740,13,12,26,25,4644,4611,57,4683,0,1,0,37,5,4611,2,2,3,1762,9,2,0,0,0,7,0,58933.140056022,50743,22317
"47432, French Lick, IN",47432,4708,23,22,107,106,4408,4375,72,4636,2,1,1,31,11,4375,7,7,37,1825,14,4,1,0,0,8,1,50709.939425588,43608,21104
"46181, Trafalgar, IN",46181,4616,13,12,17,15,4508,4481,45,4571,2,0,1,29,3,4481,4,3,3,1672,12,1,0,1,0,10,0,76601.34991119,64945,28085
"46126, Fairland, IN",46126,4532,15,14,20,20,4428,4379,75,4457,1,1,2,45,7,4379,3,3,3,1685,16,6,0,0,0,9,1,81146.545401289,69391,30594
"47124, Greenville, IN",47124,4508,35,37,27,27,4375,4350,44,4464,1,3,0,19,7,4350,11,11,5,1587,7,3,0,0,0,3,1,88674.364981504,77612,31905
