Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"42025, Benton, KY",42025,18923,40,33,38,36,18568,18417,260,18663,0,1,5,166,22,66,18417,60858.1226,50064,25529,8,7,7781,53,10,0,1,1,39,2
"40361, Paris, KY",40361,18719,55,47,1068,1167,16540,15635,1482,17237,30,22,13,729,105,583,15635,62811.72063,46142,25461,11,11,6734,335,135,12,0,5,172,11
"41101, Ashland, KY",41101,18499,144,138,610,590,17284,17143,282,18217,8,3,3,164,46,58,17143,60554.07101,39209,26321,43,41,7493,81,16,3,2,2,49,9
"40212, Louisville, KY",40212,18348,28,28,11510,11461,6238,6125,213,18135,56,3,0,106,33,15,6125,39946.55465,30890,15399,4,4,2479,54,5,15,0,2,25,7
"41076, Newport, KY",41076,18160,235,223,556,535,17049,16960,181,17979,5,1,5,121,12,37,16960,77576.68031,64645,32710,76,74,7012,46,13,0,2,0,28,3
"41091, Union, KY",41091,18015,738,719,206,196,16680,16487,321,17694,5,3,2,221,34,56,16487,114743.4259,100218,39216,213,213,5820,79,10,1,0,1,61,6
"41001, Alexandria, KY",41001,17846,93,95,98,91,17422,17329,141,17705,11,2,2,78,29,19,17329,86823.54751,78059,31205,20,20,6310,30,6,2,0,0,19,3
"40744, London, KY",40744,17717,127,123,102,98,17140,17026,226,17491,3,5,2,121,21,74,17026,59005.07661,46949,22880,34,33,6694,63,16,1,1,1,42,2
"40213, Louisville, KY",40213,17607,219,191,3662,3460,12622,12022,1541,16066,126,20,24,688,120,563,12022,57153.95467,42433,24779,85,81,5596,417,160,38,4,4,189,22
"40228, Louisville, KY",40228,17605,430,422,2720,2680,13754,13221,905,16700,42,4,8,531,78,242,13221,76861.03434,69844,30295,123,122,5637,227,54,10,1,1,150,11
