Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"42127, Cave City, KY",42127,6954,34,34,278,290,6409,6325,180,6774,4,16,2,59,22,77,6325,56855.75586,41667,23173,7,6,2663,48,18,2,1,5,19,3
"42717, Burkesville, KY",42717,6867,9,8,159,164,6547,6507,58,6809,1,2,1,31,3,20,6507,43829.50624,33463,18711,3,3,2728,14,6,1,0,0,7,0
"41041, Flemingsburg, KY",41041,6817,16,15,195,184,6477,6448,109,6708,2,1,0,41,12,53,6448,56202.63394,37748,23186,3,3,2715,19,7,1,0,0,9,2
"40359, Owenton, KY",40359,6812,10,11,38,41,6592,6524,139,6673,1,0,0,53,12,73,6524,56216.00801,49441,22653,4,4,2668,31,13,0,0,0,16,2
"40380, Stanton, KY",40380,6644,13,13,17,16,6504,6477,66,6578,1,0,0,27,3,35,6477,43407.01532,35474,17889,3,3,2511,19,8,1,0,0,9,1
"42171, Smiths Grove, KY",42171,6588,32,33,240,244,6172,6117,91,6497,4,1,0,43,16,27,6117,63838.50635,56473,24464,6,6,2381,21,5,1,0,0,14,1
"41097, Williamstown, KY",41097,6554,31,31,67,65,6324,6209,172,6382,3,4,1,112,5,47,6209,67222.2614,48787,24312,7,6,2261,32,9,1,1,1,19,1
"42220, Elkton, KY",42220,6547,3,2,358,361,6009,5870,235,6312,1,0,1,134,18,81,5870,53482.47028,45037,21522,2,1,2289,42,16,0,1,0,24,1
"42408, Dawson Springs, KY",42408,6546,18,19,50,54,6357,6305,63,6483,0,1,0,40,9,13,6305,53215.13969,37881,21490,2,2,2583,16,3,0,0,0,12,1
"40360, Owingsville, KY",40360,6491,11,12,103,107,6228,6188,92,6399,0,8,0,30,12,42,6188,50938.03527,36534,20274,4,4,2468,23,7,0,0,2,10,4
"42376, Utica, KY",42376,6289,20,24,24,30,6154,6097,75,6214,0,2,1,34,8,30,6097,67132.75392,55784,25266,2,2,2322,15,5,0,0,1,9,0
"42366, Philpot, KY",42366,6239,13,14,16,18,6160,6121,48,6191,0,0,1,31,5,11,6121,74319.32316,65835,26584,2,2,2215,8,3,0,0,0,5,0
"41073, Bellevue, KY",41073,6139,34,30,91,83,5861,5779,143,5996,2,2,2,99,8,30,5779,67078.08888,56210,29409,10,9,2605,31,8,1,1,1,18,2
"42029, Calvert City, KY",42029,6117,22,22,8,7,5979,5935,73,6044,1,2,0,46,8,16,5935,62429.07157,52800,25893,8,8,2463,11,4,1,0,1,4,1
"42544, Nancy, KY",42544,6107,7,8,16,16,5996,5967,56,6051,2,4,0,20,1,29,5967,54550.46344,36088,23096,2,2,2545,13,4,0,0,2,7,0
"40202, Louisville, KY",40202,6073,172,171,3571,3536,2128,2024,198,5875,30,3,1,109,22,33,2024,35576.49194,20229,19819,85,85,890,78,14,11,0,1,44,8
"40067, Simpsonville, KY",40067,6020,71,75,546,568,5211,4938,319,5701,16,1,1,222,14,65,4938,110775.5908,82500,40851,13,13,1840,72,19,2,0,1,48,2
"40831, Harlan, KY",40831,5957,58,55,158,150,5640,5613,60,5897,0,2,0,41,3,14,5613,51282.77394,28502,21617,10,10,2299,15,5,0,0,1,8,1
"41016, Covington, KY",41016,5940,21,19,86,79,5705,5624,117,5823,1,0,1,95,6,14,5624,63157.12244,47065,26626,10,10,2420,27,4,1,0,0,22,0
"42347, Hartford, KY",42347,5880,11,13,61,64,5664,5553,155,5725,5,1,0,89,19,41,5553,50962.51197,41607,20706,3,3,2227,32,14,0,0,0,15,3
"40447, Mc Kee, KY",40447,5871,5,5,6,3,5800,5770,46,5825,3,0,0,29,3,11,5770,37873.28048,24351,16281,0,0,2462,15,3,1,0,0,10,1
"42765, Munfordville, KY",42765,5869,17,18,249,268,5490,5407,97,5772,0,0,0,58,8,31,5407,42872.6484,32029,17178,3,3,2149,20,7,0,0,0,11,2
"42567, Eubank, KY",42567,5846,8,9,23,21,5692,5647,105,5741,6,3,1,27,14,54,5647,40543.24219,32396,15979,1,1,2264,20,13,0,0,1,4,2
"40312, Clay City, KY",40312,5824,6,6,52,49,5640,5608,86,5738,0,0,0,40,7,39,5608,40206.90349,28026,15451,0,0,2191,23,7,0,0,0,15,1
"41301, Campton, KY",41301,5788,3,3,13,13,5700,5675,35,5753,0,0,0,26,3,6,5675,34428.93805,22064,14990,1,1,2379,11,1,0,0,0,9,1
"41240, Paintsville, KY",41240,5777,30,29,20,19,5668,5655,22,5755,0,0,0,18,1,3,5655,60528.46511,36579,26294,8,8,2395,6,2,0,0,0,4,0
"40337, Jeffersonville, KY",40337,5735,5,5,12,12,5632,5590,48,5687,0,2,0,41,2,3,5590,47455.23584,33280,17941,1,1,2125,10,2,0,0,0,7,0
"42206, Auburn, KY",42206,5692,7,7,171,168,5383,5336,91,5601,1,2,0,50,4,34,5336,51150.49442,44764,19603,0,0,2038,26,12,0,0,0,12,2
"38079, Tiptonville, TN",38079,5681,10,10,1957,1983,3604,3508,102,5579,9,1,0,60,6,26,3508,46121.98541,32126,11679,0,0,970,8,1,1,0,0,5,1
"41169, Russell, KY",41169,5637,54,50,54,52,5457,5437,39,5598,0,2,2,25,2,8,5437,69903.22487,56388,28257,15,15,2210,7,1,0,0,0,6,0
"42553, Science Hill, KY",42553,5601,12,14,46,42,5444,5372,127,5474,10,0,0,57,6,54,5372,54121.29077,42059,21278,2,2,2140,25,9,1,0,0,14,1
"40013, Coxs Creek, KY",40013,5515,16,15,83,78,5331,5286,80,5435,1,0,0,52,4,23,5286,74649.9311,63041,27638,3,3,1978,23,6,1,0,0,15,1
"42038, Eddyville, KY",42038,5475,14,14,448,435,4912,4891,49,5426,4,0,0,32,7,6,4891,56227.39509,43129,22022,3,3,1972,8,1,1,0,0,4,2
"40729, East Bernstadt, KY",40729,5457,5,4,64,65,5292,5277,31,5426,0,2,1,12,4,12,5277,62253,37771,23466,0,0,1997,11,2,0,0,1,6,1
"41030, Crittenden, KY",41030,5428,25,24,32,33,5229,5148,142,5286,1,0,2,73,12,54,5148,62790.55312,52188,21684,8,8,1835,27,8,1,0,0,17,1
"40026, Goshen, KY",40026,5348,73,63,94,76,5061,4993,144,5204,7,0,2,96,12,27,4993,131654.3703,110577,43490,21,20,1702,38,6,0,1,0,29,2
"41074, Dayton, KY",41074,5274,16,15,33,30,5087,5035,95,5179,0,0,0,65,10,20,5035,54819.34726,45675,21407,7,7,1962,19,6,0,0,0,9,4
"42749, Horse Cave, KY",42749,5218,13,13,404,426,4670,4596,85,5133,2,0,1,43,5,34,4596,49041.22688,33292,19921,2,2,1884,22,10,1,0,0,11,0
"40006, Bedford, KY",40006,5204,32,31,22,15,4992,4936,151,5053,7,5,2,53,13,71,4936,68720.09392,59610,26481,5,5,1939,35,14,1,0,1,18,1
"42053, Kevil, KY",42053,5161,26,24,77,75,4933,4906,60,5101,1,0,2,29,6,22,4906,72504.36355,62531,29137,3,2,2016,16,3,1,1,0,10,1
"41171, Sandy Hook, KY",41171,5156,9,8,195,198,4899,4871,37,5119,5,1,1,19,6,5,4871,40032.40445,28136,14731,2,2,1680,7,2,0,0,1,3,1
"40162, Rineyville, KY",40162,5086,93,87,308,292,4436,4328,207,4879,13,1,5,114,24,50,4328,79791.68275,65799,28930,23,23,1665,51,14,6,0,1,27,3
"41224, Inez, KY",41224,5073,12,10,922,848,4083,3787,382,4691,11,1,1,364,5,0,3787,48260.1786,30561,15598,1,1,1429,4,0,0,0,0,4,0
"41095, Warsaw, KY",41095,4970,18,15,77,65,4600,4458,355,4615,4,2,1,161,42,145,4458,49708.9834,42065,18733,4,4,1758,82,32,0,0,1,44,5
"42726, Clarkson, KY",42726,4948,5,5,50,47,4825,4799,56,4892,1,2,0,31,2,20,4799,49477.22205,37650,19824,2,2,1916,12,4,0,0,0,8,0
"42629, Jamestown, KY",42629,4933,12,13,69,79,4760,4669,92,4841,3,1,1,62,8,17,4669,50730.98205,37663,21864,4,4,2011,23,7,1,0,1,14,0
"40419, Crab Orchard, KY",40419,4926,4,5,23,26,4804,4776,54,4872,1,1,0,13,16,23,4776,49186.41853,36391,18983,1,1,1838,7,3,0,0,0,4,0
"40143, Hardinsburg, KY",40143,4913,20,21,155,157,4634,4589,57,4856,4,0,0,35,1,17,4589,51862.49715,41512,21126,4,4,1840,12,5,1,0,0,6,0
"40051, New Haven, KY",40051,4831,4,4,24,26,4732,4698,45,4786,0,1,0,27,3,14,4698,59824.28649,47735,23031,0,0,1825,10,2,0,0,1,7,0
"41175, South Shore, KY",41175,4777,3,3,12,12,4694,4685,17,4760,0,0,0,11,2,4,4685,45210.97007,35805,18666,1,1,1940,5,1,0,0,0,3,1
"42256, Lewisburg, KY",42256,4634,2,2,31,32,4535,4494,58,4576,0,1,0,39,4,14,4494,56761.91751,47105,22869,0,0,1836,11,4,0,0,1,6,0
"42724, Cecilia, KY",42724,4631,23,22,84,79,4437,4395,78,4553,0,1,0,51,7,19,4395,70622.13364,59305,26931,4,4,1712,24,4,0,0,0,18,2
"40023, Fisherville, KY",40023,4593,75,80,93,100,4326,4244,108,4485,2,0,1,63,8,34,4244,107437.0067,93361,38147,18,18,1560,24,6,0,0,0,17,1
"41522, Elkhorn City, KY",41522,4522,4,4,11,11,4476,4467,14,4508,0,1,0,9,1,3,4467,50201.61605,36941,21147,0,0,1833,3,0,0,0,1,2,0
"41006, Butler, KY",41006,4503,5,6,10,11,4423,4396,38,4465,0,1,0,20,4,13,4396,68882.88164,57571,25775,1,1,1617,8,3,0,0,0,5,0
"42647, Stearns, KY",42647,4485,4,4,5,5,4402,4387,23,4462,0,0,0,13,7,3,4387,37818.99891,28456,15447,1,1,1794,3,1,0,0,0,1,1
"41537, Jenkins, KY",41537,4462,6,5,23,24,4397,4376,32,4430,1,0,1,17,2,11,4376,52066.91244,38958,21212,3,3,1770,4,2,0,0,0,2,0
"40437, Hustonville, KY",40437,4434,4,4,19,19,4312,4287,58,4376,1,1,0,20,7,29,4287,51167.3487,41325,20793,1,1,1768,15,6,0,0,1,8,0
"42210, Brownsville, KY",42210,4380,5,6,17,20,4294,4264,32,4348,0,0,0,17,2,13,4264,48835.4169,34397,20028,0,0,1749,4,2,0,0,0,2,0
"42450, Providence, KY",42450,4379,27,27,434,419,3767,3733,84,4295,8,2,0,42,10,22,3733,52440.75205,41776,22263,4,4,1605,14,6,4,0,0,4,0
"42635, Pine Knot, KY",42635,4364,10,9,1058,985,2995,2873,348,4016,40,9,1,160,42,96,2873,32987.91978,23696,13423,1,1,1045,1,0,0,0,1,0,0
"40823, Cumberland, KY",40823,4361,4,4,112,111,4170,4151,40,4321,0,1,0,21,5,13,4151,44335.0324,31634,18872,0,0,1758,9,3,0,0,0,5,1
"41004, Brooksville, KY",41004,4300,2,2,10,11,4211,4183,50,4250,0,0,0,22,1,27,4183,60557.83681,44955,23750,1,1,1655,8,7,0,0,0,1,0
"42348, Hawesville, KY",42348,4282,6,6,27,27,4163,4150,23,4259,0,5,0,12,2,4,4150,59437.71815,51676,22570,0,0,1593,6,0,0,0,3,3,0
"42351, Lewisport, KY",42351,4265,16,16,69,68,4102,4062,72,4193,4,0,1,34,6,27,4062,68281.09769,60989,27231,5,5,1601,15,7,1,0,0,7,0
"42041, Fulton, KY",42041,4219,56,56,759,760,3278,3256,37,4182,1,2,0,20,4,10,3256,53832.23561,44260,24005,17,17,1461,9,3,0,0,0,5,1
"42459, Sturgis, KY",42459,4209,4,4,205,211,3903,3853,54,4155,1,1,0,40,7,5,3853,50656.23296,39734,20397,1,1,1575,11,3,0,0,0,7,1
"40828, Evarts, KY",40828,4191,2,2,90,91,4025,4009,29,4162,0,0,0,15,7,7,4009,34775.13038,26004,14292,0,0,1491,6,2,0,0,0,2,2
"40008, Bloomfield, KY",40008,4172,10,10,167,165,3917,3874,77,4095,0,0,0,45,8,24,3874,65294.14745,53013,24838,1,1,1499,21,7,0,0,0,12,1
"42086, West Paducah, KY",42086,4165,9,9,160,149,3911,3888,54,4111,2,0,0,36,2,14,3888,77718.8546,68771,31442,2,2,1608,10,3,1,0,0,6,0
"42122, Alvaton, KY",42122,4163,44,41,75,69,3951,3918,74,4089,1,5,1,43,7,17,3918,78646.61962,69314,28528,8,7,1452,15,2,1,1,1,9,1
"42721, Caneyville, KY",42721,4146,2,2,16,18,4065,4044,38,4108,0,3,0,14,2,19,4044,45934.37238,34579,17970,0,0,1607,5,2,0,0,0,3,0
"41063, Morning View, KY",41063,4111,10,10,9,9,4058,4046,18,4093,0,0,0,14,0,4,4046,67084.19305,59091,24428,2,2,1487,3,0,0,0,0,3,0
"41514, Belfry, KY",41514,3942,23,23,25,25,3838,3828,14,3928,0,0,0,10,3,1,3828,53586.83106,36311,21934,6,6,1581,5,0,0,0,0,5,0
"42217, Crofton, KY",42217,3937,11,11,131,137,3699,3654,52,3885,2,0,1,31,10,8,3654,53950.4741,44351,20697,0,0,1421,18,4,2,0,0,8,4
"41314, Booneville, KY",41314,3927,3,3,15,13,3872,3852,31,3896,0,0,0,28,1,2,3852,38584.66919,25704,15828,1,1,1575,11,1,0,0,0,10,0
"42327, Calhoun, KY",42327,3913,3,4,8,9,3822,3804,44,3869,0,1,0,8,4,31,3804,61970.56474,51908,24615,1,1,1512,9,7,0,0,0,2,0
"41635, Harold, KY",41635,3888,7,7,15,16,3828,3817,21,3867,0,0,0,9,5,7,3817,46796.35801,30175,18867,2,2,1551,2,1,0,0,0,1,0
"40489, Waynesburg, KY",40489,3851,1,1,18,19,3772,3741,53,3798,0,0,0,28,11,14,3741,47331.10145,38558,18835,1,1,1485,14,6,0,0,0,7,1
"42039, Fancy Farm, KY",42039,3841,12,14,29,32,3737,3675,65,3776,1,4,0,50,3,7,3675,66956.7909,54983,26489,2,2,1481,11,2,0,0,0,9,0
"40150, Lebanon Junction, KY",40150,3822,10,10,16,15,3715,3692,41,3781,1,2,0,21,4,13,3692,66839.95176,56656,25375,3,3,1411,9,3,1,0,1,3,1
"41572, Virgie, KY",41572,3822,7,6,3,3,3786,3781,9,3813,0,0,0,8,0,1,3781,46484.84813,34792,18933,1,1,1546,6,1,0,0,0,5,0
"42653, Whitley City, KY",42653,3757,3,3,12,11,3660,3644,37,3720,0,0,0,21,5,11,3644,38389.43463,28431,15327,0,0,1433,6,1,0,0,0,4,1
"40402, Annville, KY",40402,3721,2,1,4,4,3681,3667,19,3702,0,5,1,11,0,2,3667,38654.20124,25000,15175,0,0,1438,4,0,0,0,1,3,0
"40379, Stamping Ground, KY",40379,3636,11,10,63,58,3488,3468,62,3574,0,1,0,29,6,26,3468,70232.35164,64301,27081,2,2,1356,10,3,0,0,0,6,1
"40019, Eminence, KY",40019,3610,7,6,321,308,3049,2966,268,3342,13,1,1,83,21,149,2966,53051.46828,35632,20625,3,3,1255,42,27,2,0,0,13,0
"40409, Brodhead, KY",40409,3601,3,4,1,1,3548,3533,24,3577,0,1,0,8,9,6,3533,47697.79931,34005,19625,0,0,1433,5,2,0,0,0,2,1
"42442, Nortonville, KY",42442,3596,9,9,62,65,3454,3431,28,3568,1,1,0,16,1,9,3431,51706.53896,40662,20126,1,1,1361,3,0,0,0,0,3,0
"42044, Gilbertsville, KY",42044,3589,7,6,6,5,3521,3488,48,3541,0,1,0,38,7,2,3488,72199.56739,57799,31475,3,3,1543,5,1,0,0,0,4,0
"40734, Gray, KY",40734,3568,4,4,2,2,3514,3500,20,3548,0,0,0,18,0,2,3500,35634.25089,26000,14079,2,2,1380,4,0,0,0,0,4,0
"40057, Pleasureville, KY",40057,3523,4,1,48,50,3376,3309,108,3415,3,0,3,57,6,39,3309,64572.75055,54754,24909,0,0,1324,25,8,0,0,0,16,1
"42378, Whitesville, KY",42378,3511,4,5,10,10,3449,3416,39,3472,1,0,0,25,10,3,3416,60827.80796,53451,22225,1,1,1266,6,1,0,0,0,3,2
"40385, Waco, KY",40385,3505,2,2,38,38,3398,3371,42,3463,0,0,0,26,2,14,3371,64788.26612,56806,24658,0,0,1301,8,1,0,0,0,7,0
"40740, Lily, KY",40740,3446,6,6,17,14,3360,3338,42,3404,2,1,0,26,4,9,3338,49432.09756,40374,18232,0,0,1246,13,2,1,0,0,9,1
"41007, California, KY",41007,3429,9,9,14,13,3360,3348,20,3409,1,0,0,14,4,1,3348,84845.36726,75258,30643,1,1,1216,5,1,0,0,0,3,1
"40037, Loretto, KY",40037,3388,11,13,20,23,3330,3304,29,3359,0,0,0,19,2,8,3304,59415.91506,45761,22146,0,0,1233,9,3,0,0,0,5,1
"42455, Sebree, KY",42455,3294,58,21,19,7,2957,2802,454,2840,6,2,15,193,33,205,2802,56636.34891,45828,21921,11,8,1112,72,47,1,3,0,21,0
"42519, Burnside, KY",42519,3248,7,7,6,6,3182,3147,52,3196,0,2,0,33,6,11,3147,47150.24819,33242,20057,3,3,1350,14,2,0,0,1,8,3
"40806, Baxter, KY",40806,3204,43,43,32,29,3064,3056,16,3188,3,1,0,7,2,3,3056,42048.12086,33735,17146,4,4,1273,3,0,0,0,0,3,0
"40045, Milton, KY",40045,3175,10,10,4,3,3065,3027,94,3081,1,8,1,33,5,46,3028,58425.458,51149,23225,3,3,1234,26,13,0,0,2,9,2
"41168, Rush, KY",41168,3156,10,11,26,29,3074,3056,27,3129,0,1,0,11,4,11,3056,74919.43478,57806,28856,2,2,1180,5,1,0,0,0,4,0
"40370, Sadieville, KY",40370,3155,7,4,26,27,3062,3028,63,3092,0,0,3,33,10,17,3028,74481.62217,60053,28117,3,3,1160,14,6,0,0,0,7,1
"40371, Salt Lick, KY",40371,3147,5,5,5,5,3090,3083,11,3136,0,0,0,6,1,4,3083,34517.18014,27097,13700,1,1,1236,2,0,0,0,0,2,0
"42088, Wingo, KY",42088,3140,13,14,96,106,2949,2905,49,3091,1,1,0,26,9,12,2905,61357.0988,45601,24738,2,2,1180,9,2,0,0,1,6,0
"42050, Hickman, KY",42050,3134,1,1,826,822,2244,2233,23,3111,1,0,0,14,7,1,2233,50215.92162,36071,23128,0,0,892,6,1,1,0,0,3,1
"42649, Strunk, KY",42649,3130,5,5,54,51,2991,2982,21,3109,4,0,0,6,3,8,2982,34875.27151,24243,14252,2,2,1167,1,0,0,0,0,1,0
"42518, Bronston, KY",42518,3123,9,9,22,20,3044,3026,29,3094,2,1,0,18,3,5,3026,56890.41667,32786,23817,0,0,1275,6,2,0,0,1,3,0
"41093, Wallingford, KY",41093,3121,4,5,10,11,3059,3040,29,3092,0,0,0,13,2,14,3040,42531.55704,32951,16437,1,1,1187,5,2,0,0,0,2,1
"42031, Clinton, KY",42031,3121,10,10,363,357,2686,2660,45,3076,1,0,0,31,5,8,2660,49782.85156,41058,22133,2,2,1101,10,1,0,0,0,8,1
"40056, Pewee Valley, KY",40056,3097,32,29,124,113,2870,2846,62,3035,1,0,1,39,10,11,2846,104347.635,83277,37301,8,8,1053,14,1,1,0,0,9,3
"41059, Melbourne, KY",41059,3087,6,6,10,9,3025,3014,16,3071,1,0,0,11,1,3,3014,82844.00701,60209,31362,1,1,1123,5,2,0,0,0,2,1
"40117, Ekron, KY",40117,3082,21,22,88,92,2889,2835,55,3027,1,0,0,45,4,5,2835,68003.91491,56667,24117,4,4,1034,16,3,0,0,0,13,0
"40873, Wallins Creek, KY",40873,3078,2,2,10,9,3019,3010,20,3058,0,0,0,13,1,6,3010,45865.5616,35628,18627,0,0,1226,5,2,0,0,0,3,0
"42757, Magnolia, KY",42757,3073,6,7,34,38,2970,2911,65,3008,0,0,0,48,6,11,2911,72482.69551,49009,28363,1,1,1173,13,2,0,0,0,11,0
"41749, Hyden, KY",41749,3069,3,3,10,10,3025,3016,17,3052,0,0,0,10,1,6,3016,48055.43482,38390,19858,2,2,1179,3,1,0,0,0,2,0
"41141, Garrison, KY",41141,3061,1,1,6,7,3021,3008,18,3043,0,0,0,9,5,4,3008,47586.78301,40042,18484,1,1,1178,3,0,0,0,0,2,1
"40313, Clearfield, KY",40313,3030,18,18,29,29,2915,2899,43,2987,0,0,0,16,7,20,2899,42650.51385,33636,18329,6,6,1261,9,4,0,0,0,4,1
"40146, Irvington, KY",40146,3026,7,7,126,133,2802,2778,41,2985,0,0,0,13,5,23,2778,55576.97911,40541,21990,2,2,1117,6,3,0,0,0,3,0
"41010, Corinth, KY",41010,2962,6,6,10,10,2873,2843,54,2908,1,1,1,22,3,26,2843,59904.49862,49610,21984,1,1,1065,8,3,0,0,1,3,1
"40076, Waddy, KY",40076,2907,4,5,27,31,2814,2771,44,2863,1,0,0,28,8,7,2771,79506.86182,78360,30096,0,0,1075,7,1,0,0,0,4,2
"42413, Hanson, KY",42413,2891,18,18,39,38,2786,2776,21,2870,1,1,0,10,2,7,2776,85584.90704,72350,32855,2,2,1080,5,2,0,0,0,3,0
"41092, Verona, KY",41092,2885,11,10,8,7,2817,2792,45,2840,0,0,0,30,5,10,2792,76266.7289,62000,26621,2,2,991,7,0,0,0,0,6,1
"42051, Hickory, KY",42051,2883,7,10,29,41,2752,2674,89,2794,0,4,0,42,10,33,2674,59516.74956,43255,23376,2,2,1098,16,8,0,0,1,6,1
"40322, Frenchburg, KY",40322,2825,3,3,92,87,2691,2676,25,2800,2,0,0,19,2,2,2676,36728.92483,28234,16435,0,0,1042,5,1,0,0,0,4,0
"42784, Upton, KY",42784,2808,9,7,36,36,2699,2670,35,2773,1,0,2,26,2,4,2670,50445.88868,42407,19338,3,2,1027,7,1,0,1,0,5,0
"40935, Flat Lick, KY",40935,2764,0,0,9,8,2719,2710,19,2745,0,0,0,12,7,0,2710,39582.25136,25424,15839,0,0,1089,6,0,0,0,0,5,1
"42452, Robards, KY",42452,2746,18,17,21,21,2649,2602,79,2667,1,5,1,46,5,21,2602,68997.44444,64178,26347,2,2,1022,15,5,0,0,1,9,0
"40759, Rockholds, KY",40759,2713,4,4,5,5,2665,2653,20,2693,0,1,0,16,1,2,2653,39889.0668,26527,14883,2,2,986,3,0,0,0,0,3,0
"40440, Junction City, KY",40440,2707,4,4,51,58,2588,2550,48,2659,0,0,0,27,7,14,2550,41431.78006,36629,16744,1,1,1032,10,4,0,0,0,5,1
"40486, Tyner, KY",40486,2674,3,3,3,3,2638,2627,17,2657,0,4,0,9,0,4,2627,43665.35646,30793,17192,0,0,1045,4,1,0,0,0,3,0
"41256, Staffordsville, KY",41256,2671,27,26,8,8,2614,2605,14,2657,0,0,0,10,2,2,2606,54676.3833,40200,21798,9,9,1033,2,0,0,0,0,2,0
"42234, Guthrie, KY",42234,2646,6,6,476,466,2071,1954,180,2466,4,0,0,123,8,45,1954,55619.51014,47547,21174,2,2,773,37,9,1,0,0,27,0
"42120, Adolphus, KY",42120,2626,2,2,4,5,2570,2551,29,2597,0,1,0,12,6,10,2551,39921.75498,30433,15263,0,0,983,7,2,0,0,0,3,2
"42404, Clay, KY",42404,2586,3,3,42,41,2485,2460,38,2548,1,1,0,25,5,6,2460,59695.71777,50212,23671,0,0,998,5,1,0,0,0,3,1
"42055, Kuttawa, KY",42055,2573,10,9,33,31,2499,2495,10,2563,0,0,0,9,1,0,2495,58964.37344,45448,26963,2,2,1090,2,0,0,0,0,2,0
"41562, Shelbiana, KY",41562,2554,3,3,3,3,2537,2527,12,2542,0,0,0,10,1,1,2527,45080.0431,35175,18028,1,1,1016,3,1,0,0,0,2,0
"41189, Tollesboro, KY",41189,2527,3,4,1,1,2506,2484,23,2504,0,0,0,17,1,5,2484,54957.03483,33235,21857,1,1,998,5,2,0,0,0,3,0
"41222, Hagerhill, KY",41222,2522,24,25,8,8,2463,2441,33,2489,0,0,0,21,9,3,2441,44701.30522,39262,17824,3,3,980,3,0,0,0,0,2,1
"40347, Midway, KY",40347,2500,10,8,155,137,2206,2151,163,2337,2,0,1,76,5,79,2151,78373.40615,59535,31328,1,1,884,30,16,0,0,0,14,0
"42776, Sonora, KY",42776,2485,9,8,24,21,2387,2354,46,2439,2,0,1,35,0,8,2354,57241.59496,46360,22184,2,2,927,8,0,0,0,0,8,0
"41553, Phelps, KY",41553,2469,0,0,2,2,2454,2448,7,2462,0,0,0,6,1,0,2448,39609.50495,26635,16774,0,0,1002,4,0,0,0,0,4,0
"42056, La Center, KY",42056,2465,6,6,155,156,2255,2238,20,2445,0,0,0,16,3,1,2238,56194.48919,43919,24373,2,2,941,6,0,0,0,0,6,0
"42406, Corydon, KY",42406,2438,5,5,104,110,2274,2254,28,2410,1,1,0,11,4,11,2254,69891.62783,62500,26612,2,2,873,6,2,0,0,0,3,1
"42087, Wickliffe, KY",42087,2430,3,3,71,74,2293,2277,38,2392,0,2,0,12,11,13,2277,71294.49134,47754,29361,1,1,936,9,2,0,0,1,2,4
"40011, Campbellsburg, KY",40011,2428,9,9,38,37,2326,2307,44,2384,2,0,0,17,11,14,2307,63638.61176,52899,24522,2,2,903,10,2,0,0,0,7,1
"42409, Dixon, KY",42409,2422,3,3,88,84,2280,2262,47,2375,2,1,0,21,8,15,2262,63677.5443,45545,27133,1,1,845,6,2,1,0,1,1,1
"40461, Paint Lick, KY",40461,2420,20,21,23,24,2304,2279,60,2360,0,0,0,21,5,34,2279,63183.28277,54648,24289,5,5,893,12,5,0,0,0,5,1
"40177, West Point, KY",40177,2412,43,39,176,164,2098,2016,132,2280,4,1,2,95,10,20,2016,43096.76997,32179,11542,1,1,601,5,1,0,0,0,4,0
"41002, Augusta, KY",41002,2404,2,2,18,17,2331,2315,35,2369,0,0,0,20,1,14,2315,57225.30021,40267,23340,0,0,929,7,3,0,0,0,4,0
"42048, Hardin, KY",42048,2389,6,6,3,3,2353,2337,24,2365,0,0,0,17,3,4,2337,50770.43769,39732,20977,1,1,979,3,1,0,0,0,2,0
"41774, Viper, KY",41774,2381,2,2,2,2,2330,2321,18,2363,0,0,0,4,3,11,2321,54704.01258,44832,21918,1,1,937,3,2,0,0,0,1,0
"42464, White Plains, KY",42464,2377,5,6,46,45,2292,2272,24,2353,5,1,0,12,2,4,2272,51394.07527,36429,20121,2,2,902,5,0,0,0,0,4,1
"41003, Berry, KY",41003,2363,12,11,5,5,2290,2271,35,2328,0,0,1,18,3,13,2271,55748.94083,46125,19941,1,1,833,6,3,0,0,0,3,0
"40516, Lexington, KY",40516,2351,28,29,379,390,1821,1730,131,2220,3,1,0,74,5,48,1730,92566.52116,73289,38697,7,7,776,37,13,0,0,0,22,2
"40372, Salvisa, KY",40372,2324,4,5,8,7,2270,2250,30,2294,2,1,0,13,0,14,2250,75528.15829,58382,30387,1,1,921,4,1,1,0,0,2,0
"41121, Argillite, KY",41121,2317,1,1,7,6,2284,2274,17,2300,0,0,0,14,0,3,2274,59810.48625,55111,23465,0,0,894,6,1,0,0,0,5,0
"42266, Pembroke, KY",42266,2297,8,6,305,310,1912,1863,67,2230,7,0,2,35,7,16,1863,66719.40502,54042,25262,1,0,698,17,5,1,1,0,9,1
